<DATE>,returns,lag_1,lag_2,lag_3,lag_4,lag_5,direction,position,strategy,strategy_tc
2020-12-30,3.6420932327721164e-05,1.0,1.0,0.0,0.0,1.0,1,1,3.6420932327721164e-05,-0.004963579067672279
2020-12-30,0.0012669692795246278,1.0,1.0,1.0,0.0,0.0,1,1,0.0012669692795246278,0.0012669692795246278
2020-12-30,0.0013328304016630749,1.0,1.0,1.0,1.0,0.0,1,1,0.0013328304016630749,0.0013328304016630749
2020-12-30,-0.003757246382619575,1.0,1.0,1.0,1.0,1.0,-1,1,-0.003757246382619575,-0.003757246382619575
2020-12-30,-0.002952604016753134,0.0,1.0,1.0,1.0,1.0,-1,-1,0.002952604016753134,-0.002047395983246866
2020-12-30,-0.0014673695942269995,0.0,0.0,1.0,1.0,1.0,-1,-1,0.0014673695942269995,0.0014673695942269995
2020-12-30,0.0018103746878205067,0.0,0.0,0.0,1.0,1.0,1,-1,-0.0018103746878205067,-0.0018103746878205067
2020-12-30,0.002941178590816229,1.0,0.0,0.0,0.0,1.0,1,1,0.002941178590816229,-0.0020588214091837712
2020-12-30,0.001893624671059115,1.0,1.0,0.0,0.0,0.0,1,1,0.001893624671059115,0.001893624671059115
2020-12-30,0.0005144046399456273,1.0,1.0,1.0,0.0,0.0,1,1,0.0005144046399456273,0.0005144046399456273
2020-12-30,0.00011427621612734408,1.0,1.0,1.0,1.0,0.0,1,1,0.00011427621612734408,0.00011427621612734408
2020-12-30,0.0003081344044321618,1.0,1.0,1.0,1.0,1.0,1,1,0.0003081344044321618,0.0003081344044321618
2020-12-30,0.001177998041428416,1.0,1.0,1.0,1.0,1.0,1,1,0.001177998041428416,0.001177998041428416
2020-12-30,0.0015460692764635265,1.0,1.0,1.0,1.0,1.0,1,1,0.0015460692764635265,0.0015460692764635265
2020-12-30,-0.003369873710966152,1.0,1.0,1.0,1.0,1.0,-1,1,-0.003369873710966152,-0.003369873710966152
2020-12-30,-0.0005179852741213595,0.0,1.0,1.0,1.0,1.0,-1,-1,0.0005179852741213595,-0.0044820147258786405
2020-12-30,0.001812640675116608,0.0,0.0,1.0,1.0,1.0,1,-1,-0.001812640675116608,-0.001812640675116608
2020-12-30,-0.0008219465366936206,1.0,0.0,0.0,1.0,1.0,-1,1,-0.0008219465366936206,-0.005821946536693621
2020-12-30,-0.0017360934989565848,0.0,1.0,0.0,0.0,1.0,-1,-1,0.0017360934989565848,-0.0032639065010434155
2020-12-30,-0.0005255804272031758,0.0,0.0,1.0,0.0,0.0,-1,-1,0.0005255804272031758,0.0005255804272031758
2020-12-30,-0.0008887377385452158,0.0,0.0,0.0,1.0,0.0,-1,-1,0.0008887377385452158,0.0008887377385452158
2020-12-30,0.001700409201866791,0.0,0.0,0.0,0.0,1.0,1,-1,-0.001700409201866791,-0.001700409201866791
2020-12-30,0.001290726268925266,1.0,0.0,0.0,0.0,0.0,1,1,0.001290726268925266,-0.003709273731074734
2020-12-30,-0.000893802165481386,1.0,1.0,0.0,0.0,0.0,-1,1,-0.000893802165481386,-0.000893802165481386
2020-12-30,-0.001475828166567951,0.0,1.0,1.0,0.0,0.0,-1,-1,0.001475828166567951,-0.003524171833432049
2020-12-30,-0.0003558425477686834,0.0,0.0,1.0,1.0,0.0,-1,-1,0.0003558425477686834,0.0003558425477686834
2020-12-30,-0.0017045917756257076,0.0,0.0,0.0,1.0,1.0,-1,-1,0.0017045917756257076,0.0017045917756257076
2020-12-30,-0.0015524710376416207,0.0,0.0,0.0,0.0,1.0,-1,-1,0.0015524710376416207,0.0015524710376416207
2020-12-31,0.0013715895180221047,0.0,0.0,0.0,0.0,0.0,1,-1,-0.0013715895180221047,-0.0013715895180221047
2020-12-31,0.00027826571076431186,1.0,0.0,0.0,0.0,0.0,1,1,0.00027826571076431186,-0.004721734289235688
2020-12-31,-0.0015871527520180287,1.0,1.0,0.0,0.0,0.0,-1,1,-0.0015871527520180287,-0.0015871527520180287
2020-12-31,9.056330381127829e-05,0.0,1.0,1.0,0.0,0.0,1,-1,-9.056330381127829e-05,-0.005090563303811278
2020-12-31,0.003152407384271613,1.0,0.0,1.0,1.0,0.0,1,1,0.003152407384271613,-0.001847592615728387
2020-12-31,0.001089640370366865,1.0,1.0,0.0,1.0,1.0,1,1,0.001089640370366865,0.001089640370366865
2020-12-31,0.0003519707363135843,1.0,1.0,1.0,0.0,1.0,1,1,0.0003519707363135843,0.0003519707363135843
2020-12-31,0.0008993032306094509,1.0,1.0,1.0,1.0,0.0,1,1,0.0008993032306094509,0.0008993032306094509
2020-12-31,0.00014720768693163614,1.0,1.0,1.0,1.0,1.0,1,1,0.00014720768693163614,0.00014720768693163614
2020-12-31,-0.0009771716857226802,1.0,1.0,1.0,1.0,1.0,-1,1,-0.0009771716857226802,-0.0009771716857226802
2020-12-31,-0.0008306534112574105,0.0,1.0,1.0,1.0,1.0,-1,-1,0.0008306534112574105,-0.004169346588742589
2020-12-31,0.0012379243291651323,0.0,0.0,1.0,1.0,1.0,1,-1,-0.0012379243291651323,-0.0012379243291651323
2020-12-31,0.0030587571186974157,1.0,0.0,0.0,1.0,1.0,1,1,0.0030587571186974157,-0.0019412428813025844
2020-12-31,0.004763234971271694,1.0,1.0,0.0,0.0,1.0,1,1,0.004763234971271694,0.004763234971271694
2020-12-31,0.0034171110033956783,1.0,1.0,1.0,0.0,0.0,1,1,0.0034171110033956783,0.0034171110033956783
2020-12-31,0.00292554446675638,1.0,1.0,1.0,1.0,0.0,1,1,0.00292554446675638,0.00292554446675638
2020-12-31,-0.00011446563779675265,1.0,1.0,1.0,1.0,1.0,-1,1,-0.00011446563779675265,-0.00011446563779675265
2020-12-31,-0.0018760271703017876,0.0,1.0,1.0,1.0,1.0,-1,-1,0.0018760271703017876,-0.0031239728296982125
2020-12-31,-0.0006129937745351339,0.0,0.0,1.0,1.0,1.0,-1,-1,0.0006129937745351339,0.0006129937745351339
2020-12-31,-1.8840955785196325e-05,0.0,0.0,0.0,1.0,1.0,-1,-1,1.8840955785196325e-05,1.8840955785196325e-05
2020-12-31,-4.453457939524769e-05,0.0,0.0,0.0,0.0,1.0,-1,-1,4.453457939524769e-05,4.453457939524769e-05
2020-12-31,0.0002466281322712193,0.0,0.0,0.0,0.0,0.0,1,-1,-0.0002466281322712193,-0.0002466281322712193
2020-12-31,0.0015161111068170271,1.0,0.0,0.0,0.0,0.0,1,1,0.0015161111068170271,-0.003483888893182973
2020-12-31,-0.00110519933919969,1.0,1.0,0.0,0.0,0.0,-1,1,-0.00110519933919969,-0.00110519933919969
2020-12-31,-0.00918812583446107,0.0,1.0,1.0,0.0,0.0,-1,-1,0.00918812583446107,0.00418812583446107
2020-12-31,-0.01200941111128817,0.0,0.0,1.0,1.0,0.0,-1,-1,0.01200941111128817,0.01200941111128817
2020-12-31,-0.00667861482951431,0.0,0.0,0.0,1.0,1.0,-1,-1,0.00667861482951431,0.00667861482951431
2020-12-31,0.0042067459453573545,0.0,0.0,0.0,0.0,1.0,1,-1,-0.0042067459453573545,-0.0042067459453573545
2020-12-31,0.001399492102519886,1.0,0.0,0.0,0.0,0.0,1,1,0.001399492102519886,-0.003600507897480114
2020-12-31,-0.0022131132875247905,1.0,1.0,0.0,0.0,0.0,-1,1,-0.0022131132875247905,-0.0022131132875247905
2020-12-31,0.0009696065086798014,0.0,1.0,1.0,0.0,0.0,1,-1,-0.0009696065086798014,-0.005969606508679802
2020-12-31,0.0020465854651004253,1.0,0.0,1.0,1.0,0.0,1,1,0.0020465854651004253,-0.002953414534899575
2020-12-31,9.618621658934347e-05,1.0,1.0,0.0,1.0,1.0,1,1,9.618621658934347e-05,9.618621658934347e-05
2020-12-31,0.0008180831789541291,1.0,1.0,1.0,0.0,1.0,1,1,0.0008180831789541291,0.0008180831789541291
2020-12-31,0.003237790038246819,1.0,1.0,1.0,1.0,0.0,1,1,0.003237790038246819,0.003237790038246819
2020-12-31,0.0014775922985380975,1.0,1.0,1.0,1.0,1.0,1,1,0.0014775922985380975,0.0014775922985380975
2020-12-31,-0.0012668714845500717,1.0,1.0,1.0,1.0,1.0,-1,1,-0.0012668714845500717,-0.0012668714845500717
2020-12-31,-0.001748061761476341,0.0,1.0,1.0,1.0,1.0,-1,-1,0.001748061761476341,-0.0032519382385236594
2020-12-31,0.0005789590408702945,0.0,0.0,1.0,1.0,1.0,1,-1,-0.0005789590408702945,-0.0005789590408702945
2020-12-31,0.00017083349354198051,1.0,0.0,0.0,1.0,1.0,1,1,0.00017083349354198051,-0.00482916650645802
2020-12-31,0.001252468301128761,1.0,1.0,0.0,0.0,1.0,1,1,0.001252468301128761,0.001252468301128761
2020-12-31,0.0006734891778440461,1.0,1.0,1.0,0.0,0.0,1,1,0.0006734891778440461,0.0006734891778440461
2020-12-31,0.00037048665497754594,1.0,1.0,1.0,1.0,0.0,1,1,0.00037048665497754594,0.00037048665497754594
2020-12-31,0.0005198413470901526,1.0,1.0,1.0,1.0,1.0,1,1,0.0005198413470901526,0.0005198413470901526
2020-12-31,-0.001281836279638511,1.0,1.0,1.0,1.0,1.0,-1,1,-0.001281836279638511,-0.001281836279638511
2020-12-31,-0.0005744895470342303,0.0,1.0,1.0,1.0,1.0,-1,-1,0.0005744895470342303,-0.00442551045296577
2020-12-31,-0.0007089919459717245,0.0,0.0,1.0,1.0,1.0,-1,-1,0.0007089919459717245,0.0007089919459717245
2020-12-31,0.0003484618060143612,0.0,0.0,0.0,1.0,1.0,1,-1,-0.0003484618060143612,-0.0003484618060143612
2020-12-31,0.0008340726997383454,1.0,0.0,0.0,0.0,1.0,1,1,0.0008340726997383454,-0.004165927300261655
2020-12-31,0.0010437869534897536,1.0,1.0,0.0,0.0,0.0,1,1,0.0010437869534897536,0.0010437869534897536
2020-12-31,0.00204266743249991,1.0,1.0,1.0,0.0,0.0,1,1,0.00204266743249991,0.00204266743249991
2020-12-31,0.002630554400902297,1.0,1.0,1.0,1.0,0.0,1,1,0.002630554400902297,0.002630554400902297
2020-12-31,0.0013023165950665334,1.0,1.0,1.0,1.0,1.0,1,1,0.0013023165950665334,0.0013023165950665334
2020-12-31,-0.00015210886875879394,1.0,1.0,1.0,1.0,1.0,-1,1,-0.00015210886875879394,-0.00015210886875879394
