<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,5,20201120,000000,17881.2,17901.3,17873.8,17876.5,0,0
BTC.V,5,20201120,000500,17879,17882.8,17791.3,17791.3,0,0
BTC.V,5,20201120,001000,17803.2,17811.3,17778.8,17798.6,0,0
BTC.V,5,20201120,001500,17792.4,17802.3,17785.3,17789.1,0,0
BTC.V,5,20201120,002000,17784,17800.9,17723.8,17731.1,0,0
BTC.V,5,20201120,002500,17740.1,17784.7,17740.1,17776.5,0,0
BTC.V,5,20201120,003000,17778.8,17814.4,17777.2,17814.4,0,0
BTC.V,5,20201120,003500,17817.1,17826.8,17808.5,17826.8,0,0
BTC.V,5,20201120,004000,17831.5,17848.6,17827.4,17844.4,0,0
BTC.V,5,20201120,004500,17844.4,17845.7,17808,17820,0,0
BTC.V,5,20201120,005000,17821.3,17834,17812.8,17825.3,0,0
BTC.V,5,20201120,005500,17835.8,17839.5,17814.6,17816.9,0,0
BTC.V,5,20201120,010000,17819.2,17883.2,17800.3,17873.7,0,0
BTC.V,5,20201120,010500,17873.8,17895.2,17868.6,17887.3,0,0
BTC.V,5,20201120,011000,17882.7,17911.5,17879.8,17900.8,0,0
BTC.V,5,20201120,011500,17902.7,17914.8,17886.6,17912.1,0,0
BTC.V,5,20201120,012000,17912.3,17933.8,17902.8,17905.7,0,0
BTC.V,5,20201120,012500,17908.4,17908.4,17880.4,17882.9,0,0
BTC.V,5,20201120,013000,17882.6,17883.4,17860,17873.4,0,0
BTC.V,5,20201120,013500,17870.9,17878.8,17828.9,17842.8,0,0
BTC.V,5,20201120,014000,17838.3,17860.9,17838.3,17857.4,0,0
BTC.V,5,20201120,014500,17860.2,17876.5,17831,17834.1,0,0
BTC.V,5,20201120,015000,17839.9,17843.4,17823,17826.3,0,0
BTC.V,5,20201120,015500,17823.2,17827,17775.8,17784.6,0,0
BTC.V,5,20201120,020000,17789.6,17803.8,17772.2,17802.4,0,0
BTC.V,5,20201120,020500,17802.9,17804.8,17790,17803.8,0,0
BTC.V,5,20201120,021000,17799.8,17846.3,17799,17846.3,0,0
BTC.V,5,20201120,021500,17843.6,17858.8,17843,17849.3,0,0
BTC.V,5,20201120,022000,17849.2,17866.1,17835.2,17865.8,0,0
BTC.V,5,20201120,022500,17864.6,17888.2,17859.7,17888.2,0,0
BTC.V,5,20201120,023000,17886.5,17898.6,17876.6,17876.6,0,0
BTC.V,5,20201120,023500,17875.1,17941.6,17875.1,17941.6,0,0
BTC.V,5,20201120,024000,17926.8,17935.7,17917.5,17932,0,0
BTC.V,5,20201120,024500,17932.9,17932.9,17890.7,17891.4,0,0
BTC.V,5,20201120,025000,17894.5,17929.1,17893.9,17903.5,0,0
BTC.V,5,20201120,025500,17897.7,17977.3,17897.7,17977.3,0,0
BTC.V,5,20201120,030000,17978.7,17978.7,17934,17937,0,0
BTC.V,5,20201120,030500,17943.2,17952.9,17931,17952.9,0,0
BTC.V,5,20201120,031000,17964.1,17964.1,17929.4,17948.5,0,0
BTC.V,5,20201120,031500,17949.5,18003,17949.5,18000.3,0,0
BTC.V,5,20201120,032000,18002.2,18006.1,17985.1,18006.1,0,0
BTC.V,5,20201120,032500,18007.1,18036.3,18005.4,18021.3,0,0
