,0,momentum
GRT-USD,1.9103504482477582,1.9104
OXT-USD,1.8403451995685,1.8403
XTZ-EUR,1.8403451995685,1.8403
XTZ-USD,1.8403451995685,1.8403
NMR-GBP,1.8403451995685,1.8403
CGLD-EUR,1.8403451995685,1.8403
REP-BTC,1.8403451995685,1.8403
UMA-BTC,1.8403451995685,1.8403
BAT-USDC,1.8403451995685,1.8403
COMP-USD,1.8403451995685,1.8403
ATOM-BTC,1.8403451995685,1.8403
BAND-GBP,1.8403451995685,1.8403
MKR-USD,1.8403451995685,1.8403
KNC-BTC,1.8403451995685,1.8403
SNX-BTC,1.8403451995685,1.8403
YFI-BTC,1.8403451995685,1.8403
SNX-EUR,1.8403451995685,1.8403
UMA-EUR,1.8403451995685,1.8403
XRP-EUR,1.8403451995685,1.8403
CGLD-USD,1.8403451995685,1.8403
XTZ-GBP,1.8403451995685,1.8403
SNX-GBP,1.8403451995685,1.8403
BAND-USD,1.8403451995685,1.8403
LINK-EUR,1.8403451995685,1.8403
KNC-USD,1.8403451995685,1.8403
BAL-BTC,1.8403451995685,1.8403
LINK-BTC,1.8403451995685,1.8403
LINK-USD,1.8403451995685,1.8403
BNT-GBP,1.8403451995685,1.8403
XLM-USD,1.8403451995685,1.8403
NU-BTC,1.8403451995685,1.8403
NU-EUR,1.8403451995685,1.8403
ETC-EUR,1.8403451995685,1.8403
BNT-BTC,1.8403451995685,1.8403
ZEC-BTC,1.8403451995685,1.8403
BCH-BTC,1.8403451995685,1.8403
BTC-GBP,1.8403451995685,1.8403
FIL-BTC,1.8403451995685,1.8403
NU-USD,1.8403451995685,1.8403
DAI-USD,1.8403451995685,1.8403
BAND-EUR,1.8403451995685,1.8403
AAVE-BTC,1.8403451995685,1.8403
AAVE-GBP,1.8403451995685,1.8403
ALGO-BTC,1.8403451995685,1.8403
AAVE-EUR,1.8403451995685,1.8403
ALGO-EUR,1.8403451995685,1.8403
ALGO-GBP,1.8403451995685,1.8403
ALGO-USD,1.8403451995685,1.8403
ATOM-USD,1.8403451995685,1.8403
BAL-USD,1.8403451995685,1.8403
BAND-BTC,1.8403451995685,1.8403
XRP-USD,1.8403451995685,1.8403
CGLD-BTC,1.8403451995685,1.8403
GRT-GBP,1.8403451995685,1.8403
BNT-EUR,1.8403451995685,1.8403
DASH-USD,1.8403451995685,1.8403
ETC-GBP,1.8403451995685,1.8403
ETC-BTC,1.8403451995685,1.8403
EOS-USD,1.8403451995685,1.8403
EOS-EUR,1.8403451995685,1.8403
EOS-BTC,1.8403451995685,1.8403
DNT-USDC,1.8403451995685,1.8403
DASH-BTC,1.8403451995685,1.8403
BNT-USD,1.8403451995685,1.8403
DAI-USDC,1.8403451995685,1.8403
CVC-USDC,1.8403451995685,1.8403
COMP-BTC,1.8403451995685,1.8403
CGLD-GBP,1.8403451995685,1.8403
BTC-EUR,0.29606524567843784,0.2961
BTC-USDC,0.2886497613595318,0.2886
BTC-USD,0.28731061468960606,0.2873
LTC-EUR,0.25461613216715273,0.2546
LTC-USD,0.24582386082830876,0.2458
LTC-GBP,0.23983357938531724,0.2398
ETH-EUR,0.14534083084691307,0.1453
ETH-USD,0.13552077342742108,0.1355
ETH-USDC,0.13519016459690092,0.1352
ETH-GBP,0.1307562315166877,0.1308
BCH-EUR,0.10166139240506333,0.1017
BCH-USD,0.0948167690872237,0.0948
BCH-GBP,0.0895789657582109,0.0896
AAVE-USD,0.03958954610561927,0.0396
ZEC-USDC,-0.24610424502955397,-0.2461
