,Unnamed: 0,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,post_only,limit_only,cancel_only,trading_disabled,status,status_message
0,0,DAI-USD,DAI,USD,1.0,100000.0,1e-06,1e-05,DAI/USD,5.0,100000.0,False,False,True,False,False,online,
1,1,BAL-BTC,BAL,BTC,0.1,6700.0,1e-08,0.01,BAL/BTC,0.0001,10.0,False,False,False,False,False,online,
2,2,AAVE-USD,AAVE,USD,0.01,1200.0,0.001,0.001,AAVE/USD,1.0,500000.0,False,False,False,False,False,online,
3,3,SNX-EUR,SNX,EUR,0.1,19000.0,0.0001,0.001,SNX/EUR,1.0,92000.0,False,False,False,False,False,online,
4,4,LTC-USD,LTC,USD,0.1,4000.0,0.01,1e-08,LTC/USD,10.0,250000.0,False,False,False,False,False,online,
5,5,XTZ-EUR,XTZ,EUR,1.0,100000.0,1e-05,0.01,XTZ/EUR,10.0,100000.0,False,False,False,False,False,online,
6,6,XTZ-USD,XTZ,USD,1.0,100000.0,0.0001,0.01,XTZ/USD,10.0,100000.0,False,False,False,False,False,online,
7,7,BAT-USDC,BAT,USDC,1.0,800000.0,1e-06,1.0,BAT/USDC,10.0,100000.0,False,False,False,False,False,online,
8,8,XRP-EUR,XRP,EUR,1.0,500000.0,0.0001,1e-06,XRP/EUR,10.0,100000.0,False,False,True,False,False,online,
9,9,ETC-EUR,ETC,EUR,0.1,20000.0,0.001,1e-08,ETC/EUR,10.0,100000.0,False,False,False,False,False,online,
10,10,KNC-BTC,KNC,BTC,1.0,600000.0,1e-08,0.1,KNC/BTC,0.001,30.0,False,False,False,False,False,online,
11,11,MKR-USD,MKR,USD,0.001,240.0,0.0001,1e-06,MKR/USD,1.0,100000.0,False,False,False,False,False,online,
12,12,COMP-USD,COMP,USD,0.01,1700.0,0.01,0.001,COMP/USD,1.0,100000.0,False,False,False,False,False,online,
13,13,UMA-EUR,UMA,EUR,0.01,4500.0,0.001,0.001,UMA/EUR,1.0,100000.0,False,False,False,False,False,online,
14,14,AAVE-BTC,AAVE,BTC,0.01,1200.0,1e-08,0.001,AAVE/BTC,0.0001,5.2,False,False,False,False,False,online,
15,15,REP-BTC,REP,BTC,0.1,5000.0,1e-06,1e-06,REP/BTC,0.001,6.0,False,False,False,False,False,online,
16,16,CGLD-EUR,CGLD,EUR,0.1,34000.0,0.0001,0.01,CGLD/EUR,1.0,100000.0,False,False,False,False,False,online,
17,17,NMR-GBP,NMR,GBP,0.01,3900.0,0.0001,0.001,NMR/GBP,1.0,100000.0,False,False,False,False,False,online,
18,18,SNX-BTC,SNX,BTC,0.1,19000.0,1e-08,0.01,SNX/BTC,0.0001,5.1,False,False,False,False,False,online,
19,19,OXT-USD,OXT,USD,1.0,500000.0,0.0001,1.0,OXT/USD,1.0,100000.0,False,False,False,False,False,online,
20,20,CGLD-USD,CGLD,USD,0.1,34000.0,0.0001,0.01,CGLD/USD,1.0,100000.0,False,False,False,False,False,online,
21,21,XTZ-GBP,XTZ,GBP,1.0,100000.0,1e-05,0.01,XTZ/GBP,10.0,100000.0,False,False,False,False,False,online,
