Date,Open,High,Low,Close
2018-04-18,0.3729,0.4013,0.3604,0.3691
2018-04-19,0.3691,0.4894,0.3691,0.44
2018-04-20,0.44,0.5325,0.44,0.464
2018-04-21,0.464,0.485,0.4207,0.4282
2018-04-22,0.4282,0.4585,0.4176,0.4579
2018-04-23,0.4579,0.5326,0.4542,0.515
2018-04-24,0.515,0.675,0.515,0.6025
2018-04-25,0.6026,0.6026,0.4905,0.519
2018-04-26,0.519,0.5842,0.4931,0.5041
2018-04-27,0.5045,0.5708,0.4854,0.5092
2018-04-28,0.5092,0.5783,0.4947,0.5783
2018-04-29,0.5782,0.6303,0.5291,0.5354
2018-04-30,0.5355,0.5437,0.4866,0.5306
2018-05-01,0.5306,0.5306,0.4803,0.5169
2018-05-02,0.5169,0.5257,0.4738,0.4835
2018-05-03,0.4835,0.5652,0.4748,0.5234
2018-05-04,0.5235,0.6982,0.4731,0.5363
2018-05-05,0.5363,0.5827,0.5238,0.548
2018-05-06,0.5481,0.5563,0.4889,0.4905
2018-05-07,0.4905,0.5814,0.4689,0.5635
2018-05-08,0.5635,0.6,0.519,0.5344
2018-05-09,0.5344,0.7052,0.5144,0.5721
2018-05-10,0.5722,0.7212,0.5403,0.6273
2018-05-11,0.6273,0.6273,0.5053,0.5074
2018-05-12,0.5074,0.6021,0.5074,0.565
2018-05-13,0.5651,0.587,0.5489,0.5737
2018-05-14,0.5737,0.6198,0.5637,0.6121
2018-05-15,0.6121,0.7202,0.5944,0.6622
2018-05-16,0.6622,0.6675,0.6174,0.6675
2018-05-17,0.6673,0.6673,0.6052,0.6088
2018-05-18,0.6088,0.6763,0.6088,0.6696
2018-05-19,0.6696,0.6863,0.6406,0.6729
2018-05-20,0.6729,0.7788,0.6451,0.7734
2018-05-21,0.7735,0.7735,0.6704,0.7003
2018-05-22,0.7003,0.8352,0.6228,0.6429
2018-05-23,0.6429,0.6457,0.5413,0.5723
2018-05-24,0.5723,0.6522,0.5576,0.6242
2018-05-25,0.6242,0.6242,0.542,0.5703
2018-05-26,0.5703,0.5703,0.5324,0.5602
2018-05-27,0.5602,0.5665,0.5229,0.5334
2018-05-28,0.5334,0.5334,0.4637,0.4733
2018-05-29,0.4733,0.543,0.4637,0.5311
2018-05-30,0.5311,0.5341,0.4843,0.4985
2018-05-31,0.4985,0.5231,0.4881,0.5058
2018-06-01,0.5058,0.539,0.4893,0.5021
2018-06-02,0.5021,0.5195,0.5013,0.5056
2018-06-03,0.5056,0.6329,0.5056,0.5886
2018-06-04,0.5886,0.5908,0.5283,0.5388
2018-06-05,0.5388,0.5794,0.5388,0.5594
2018-06-06,0.5594,0.5737,0.5387,0.5521
2018-06-07,0.5521,0.5632,0.509,0.5221
2018-06-08,0.5221,0.5531,0.5171,0.5303
2018-06-09,0.5303,0.556,0.5024,0.5482
2018-06-10,0.5482,0.5482,0.4519,0.4639
2018-06-11,0.4639,0.5303,0.455,0.5084
2018-06-12,0.5084,0.5084,0.4076,0.4131
2018-06-13,0.4131,0.4355,0.352,0.3802
2018-06-14,0.3802,0.4521,0.3802,0.4314
2018-06-15,0.4314,0.4476,0.3793,0.3874
2018-06-16,0.3874,0.415,0.3498,0.3662
2018-06-17,0.3662,0.4001,0.3416,0.3689
2018-06-18,0.3689,0.4563,0.3689,0.4265
2018-06-19,0.4265,0.449,0.4045,0.4299
2018-06-20,0.4299,0.441,0.3999,0.405
2018-06-21,0.405,0.442,0.402,0.4412
2018-06-22,0.4412,0.4412,0.35,0.3699
2018-06-23,0.3699,0.4187,0.3421,0.348
2018-06-24,0.348,0.3509,0.2911,0.3063
2018-06-25,0.3063,0.3567,0.3063,0.3294
2018-06-26,0.3294,0.3328,0.3062,0.3144
2018-06-27,0.3146,0.3174,0.2888,0.3098
2018-06-28,0.3098,0.3098,0.2654,0.2933
2018-06-29,0.2932,0.3168,0.2932,0.3016
