Currency,Date,<CLOSE>,24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-12-27,26389.2902649448,26447.7080723867,28352.6278235304,25759.0686089471
BTC,2020-12-28,26718.0294634041,26226.0661304597,27447.5513835111,26046.6255781142
BTC,2020-12-29,26975.7295645207,27038.7356756303,27169.2255580213,25875.0497857974
BTC,2020-12-30,28768.8362075267,27349.3272325944,28928.2143914654,27349.2832043642
BTC,2020-12-31,29111.5215671239,28872.8297746092,29280.0453282743,27916.6250585376
BTC,2021-01-01,29333.6051206224,28935.8109810492,29601.5948984761,28753.412313829
BTC,2021-01-02,32154.1673632745,29353.6406079891,33064.6735343199,29012.9278866631
BTC,2021-01-03,33002.5364270397,32074.1066108681,34452.0803367239,31885.5816186745
BTC,2021-01-04,31431.6122797216,32788.5834526939,33358.3993456031,28154.1102978607
BTC,2021-01-05,34433.6065138377,31991.9268648971,34435.4174754116,29948.6536284251
BTC,2021-01-06,36275.7563476709,34001.3447644318,36461.6917738274,33351.0281200728
BTC,2021-01-07,39713.5078567171,36806.4197553652,40324.0140328883,36356.4307560234
BTC,2021-01-08,40519.4485975339,39420.800696056,41962.3621250156,36741.3301768178
BTC,2021-01-09,40258.923988658,40558.1021230592,41375.4306807605,38766.2761605625
BTC,2021-01-10,38709.7653748751,40096.333201718,41186.5234299068,34897.55046586
BTC,2021-01-11,34409.6423752223,38132.535793776,38204.7544098997,30305.3000452098
BTC,2021-01-12,34214.6102620504,35432.8591449362,36566.9090630439,32538.9411741261
BTC,2021-01-13,37017.0075034547,34070.3256221573,37798.8601044987,32470.585257739
BTC,2021-01-14,38435.8635146613,37373.1619606947,40066.3197563039,36770.7951226794
BTC,2021-01-15,36751.5849736892,39127.6785205561,39673.0723008878,34425.4879409361
BTC,2021-01-16,36016.7796059422,36752.7711846477,37943.5121652479,35398.8675192264
BTC,2021-01-17,36375.8113792618,36016.7530890736,36840.1328539,33870.1383757585
BTC,2021-01-18,36346.6095022257,35847.8334246585,37440.4040115605,34816.2892503946
BTC,2021-01-19,36577.5196463886,36639.9859124177,37876.1589287651,36136.5355744097
BTC,2021-01-20,35004.5326268831,35909.4322470885,36409.7085963005,33430.8219917583
BTC,2021-01-21,30606.1826756533,35491.4239211366,35612.7371984016,30077.2789554444
BTC,2021-01-22,33368.3659318948,30844.8331515336,33873.7729879217,28845.3114802702
BTC,2021-01-23,32070.0974252022,33000.4466440014,33501.248445319,31451.2963049754
BTC,2021-01-24,32285.726132437,32107.3918172586,33088.5485468723,30987.7038591708
BTC,2021-01-25,32500.2559626891,32297.5041671983,34893.984019267,31949.282371139
BTC,2021-01-26,32324.5556507343,32270.825619776,32770.8046094116,31062.5495278594
BTC,2021-01-27,30534.9993730199,32497.8484610587,32570.2815018184,29452.7855936193
BTC,2021-01-28,33408.2183373915,30426.0844006272,33481.4854175656,29921.9600768936
BTC,2021-01-29,34842.5573931247,33424.5955911396,38468.0782896097,31984.0089164245
BTC,2021-01-30,34622.3732315285,34265.3766577343,34920.2911469008,32945.3699757616
BTC,2021-01-31,33087.3698645166,34304.2345090189,34373.7340050826,32229.545180648
BTC,2021-02-01,33613.320764309,33138.7765051813,34715.6557313683,32341.9899131003
BTC,2021-02-02,35632.9019515192,33525.2882463337,36008.3108158761,33437.7469091333
BTC,2021-02-03,37397.426364087,35519.7077694716,37505.3037068082,35416.7317762554
BTC,2021-02-04,37256.2521108726,37645.9456401468,38731.0879518096,36207.4943099808
BTC,2021-02-05,37851.5965900821,36970.8122685505,38332.4169205185,36637.6456237511
BTC,2021-02-06,40302.7997928393,38305.2753898303,40999.046843054,38233.7266680261
BTC,2021-02-07,38461.6814033048,39253.2277333162,39698.0658963504,37388.3416909328
BTC,2021-02-08,44716.6854690563,38853.2994536403,44981.8599987139,38036.2832494539
BTC,2021-02-09,46674.851688109,46433.4896361302,48226.2508883909,45058.0689954798
BTC,2021-02-10,45237.475689253,46512.9905626574,47374.3559087009,43886.2760376392
BTC,2021-02-11,47500.8975242038,44859.8476721646,48600.631934831,44070.7270645652
BTC,2021-02-12,47884.1828622953,47992.6229090107,48925.5344821123,46550.1479507901
BTC,2021-02-13,47005.1906488965,47405.5571536702,48189.7779898626,46333.5736597339
BTC,2021-02-14,49151.167576322,47231.1333397211,49716.4363790221,47105.1717450729
BTC,2021-02-15,48125.9921954072,48654.8307175884,49037.9161086163,45926.2515472821
BTC,2021-02-16,48840.4144745814,47944.4849703385,50584.8489491944,47088.8360788441
BTC,2021-02-17,52165.3025552208,49186.3338669074,52621.8350655614,48990.8951907168
BTC,2021-02-18,51728.5087967282,52146.0033853347,52532.2971174498,50971.7431761303
BTC,2021-02-19,55719.2043616996,51598.1437142228,56283.5498409308,50821.4728195952
BTC,2021-02-20,54801.6486439949,55917.0391830706,57487.0283054604,54039.6739238208
BTC,2021-02-21,57128.6426064698,55913.3514450919,58332.3646162063,55531.5507032322
BTC,2021-02-22,54181.9146491937,57453.3580092292,57535.8634824952,47780.7495832678
BTC,2021-02-23,48172.8774769266,54124.5390943883,54180.2321793164,45047.7828575476
BTC,2021-02-24,48745.4329843392,48923.0350805835,51413.6135567667,47032.5242618706
BTC,2021-02-25,48291.4120833455,49746.6516311104,52076.3177229818,47501.674798206
BTC,2021-02-26,45752.1149194059,47135.5517277445,48453.7386345789,44279.4495381694
BTC,2021-02-27,46642.6060765784,46326.8240662604,48353.0009997272,46207.7057791701
BTC,2021-02-28,45092.8065726007,46204.0585644331,46675.1978497681,43119.157023758
BTC,2021-03-01,49248.914013312,45234.3687569565,49520.7249935968,45044.3837644809
BTC,2021-03-02,47900.7768783279,49636.0214648134,50211.4371703528,47200.042169092
BTC,2021-03-03,50811.855174443,48526.9903619638,52636.222987521,48195.1231038261
BTC,2021-03-04,48259.4870766621,50433.43614725,51781.967830174,47578.3072329746
BTC,2021-03-05,49149.7308288371,48404.2136268243,49462.1330062648,46393.3914635486
BTC,2021-03-06,48879.1519041557,48791.7905089441,49173.7618742134,47127.0409714578
BTC,2021-03-07,50594.6985745107,48887.566413132,51222.8723000143,48887.566413132
BTC,2021-03-08,51503.2581321815,50948.8807074493,51916.4139456018,49390.1827152952
BTC,2021-03-09,54458.0378114244,52360.7481633466,54804.0784533568,51865.5900329546
BTC,2021-03-10,56915.1739350527,54924.6865322271,57336.7454125548,53101.2363718899
BTC,2021-03-11,57636.7579619661,55898.8648164963,58034.7039641727,54323.6084986415
BTC,2021-03-12,57306.166262989,57817.2702106193,58077.9516003434,55116.258354667
BTC,2021-03-13,60743.0418249111,57227.2334504064,61556.5944921945,56124.1499937536
BTC,2021-03-14,60197.9019918003,60972.4912822272,61453.0583419279,59275.7038320695
BTC,2021-03-15,56300.3341086303,58962.4884645416,60570.6936530492,54790.3293132007
BTC,2021-03-16,56639.7839496711,55668.6235320123,56821.8824352676,53350.3677261802
BTC,2021-03-17,58567.2837810578,56908.5650181465,58923.5489310284,54201.7016335385
BTC,2021-03-18,57983.094743574,58883.0183569279,60074.3698484262,57075.0685717417
BTC,2021-03-19,58451.7314659458,57661.4151760071,59461.7752558814,56327.7928291708
BTC,2021-03-20,58593.6024540601,58127.6880369045,59919.2117705724,57914.8945148009
BTC,2021-03-21,57796.4673712199,58139.3002655962,58649.1341945667,55645.0542716299
BTC,2021-03-22,54329.3586346314,57389.2116182088,58407.6192058119,53795.1540855809
BTC,2021-03-23,54794.2977137099,54143.1060411186,55858.3692503114,53031.3267854018
BTC,2021-03-24,52787.7455257516,54375.8076292116,57225.2988140147,51777.9710941205
BTC,2021-03-25,52173.8679802456,52335.565034056,53209.4063842316,50458.0999654431
BTC,2021-03-26,54483.0457323,51344.0489802149,54806.8815135324,51286.2911772789
BTC,2021-03-27,56234.3561050027,55067.8243992337,56520.3072872845,54022.0769411946
BTC,2021-03-28,55343.9258153269,55843.7489159098,56541.0065274396,54741.6263732317
BTC,2021-03-29,57627.6792491031,55786.5460749289,58353.5293934274,54929.6805881028
BTC,2021-03-30,58734.4754337222,57613.1612610215,59379.9921589643,57069.2292723107
BTC,2021-03-31,58724.6645166272,58810.1558902316,59835.392334136,56934.3121158485
BTC,2021-04-01,58984.6129299288,58764.4330922567,59458.9845627677,57973.352097854
BTC,2021-04-02,58821.6269944414,58726.0845659329,60101.7523258852,58478.5983494219
BTC,2021-04-03,57517.7987731414,58958.4289847544,59713.2101360277,57185.7680059776
BTC,2021-04-04,58177.4027637323,57134.860051301,58540.9847064005,56552.2222746656
BTC,2021-04-05,58843.5595402095,58230.6755383335,59243.0361752688,56846.9690472223
BTC,2021-04-06,58040.1876018833,59133.6557404877,59484.1994747287,57421.85308528
