<DATE>,returns,lag_1,lag_2,lag_3,lag_4,lag_5,direction,position,strategy,strategy_tc
2021-01-17 01:00:00,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,-0.0,-0.005
2021-01-17 01:20:00,0.0,0.0,0.0,1.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 01:40:00,0.0,0.0,0.0,0.0,1.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 02:00:00,0.0,0.0,0.0,0.0,0.0,1.0,-1,-1,-0.0,-0.0
2021-01-17 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-17 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 00:20:00,0.007764333570130044,0.0,0.0,0.0,0.0,0.0,1,-1,-0.007764333570130044,-0.007764333570130044
2021-01-18 00:40:00,0.0,1.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 01:00:00,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 01:20:00,0.0,0.0,0.0,1.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 01:40:00,0.0,0.0,0.0,0.0,1.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 02:00:00,0.0,0.0,0.0,0.0,0.0,1.0,-1,-1,-0.0,-0.0
2021-01-18 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-18 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 00:20:00,0.006248171534293747,0.0,0.0,0.0,0.0,0.0,1,-1,-0.006248171534293747,-0.006248171534293747
2021-01-19 00:40:00,0.0,1.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 01:00:00,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 01:20:00,0.0,0.0,0.0,1.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 01:40:00,0.0,0.0,0.0,0.0,1.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 02:00:00,0.0,0.0,0.0,0.0,0.0,1.0,-1,-1,-0.0,-0.0
2021-01-19 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
2021-01-19 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-0.0,-0.0
