time,Mid,returns,lag_1,lag_2,lag_3,lag_4,lag_5,direction,position,strategy,strategy_tc
2021-02-11 12:50:00,37207.07,0.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-0.0,-0.005
2021-02-11 12:55:00,37501.88,0.007892268068451676,1.0,1.0,1.0,1.0,1.0,1,-1,-0.007892268068451676,-0.007892268068451676
2021-02-11 13:00:00,37501.88,0.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-11 13:05:00,37501.88,0.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-11 13:10:00,37501.88,0.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-11 13:15:00,37374.77,-0.0033951872073033035,1.0,1.0,1.0,1.0,1.0,-1,-1,0.0033951872073033035,0.0033951872073033035
2021-02-11 13:20:00,37374.77,0.0,0.0,1.0,1.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-11 13:25:00,37376.99,5.939659482683817e-05,1.0,0.0,1.0,1.0,1.0,1,-1,-5.939659482683817e-05,-5.939659482683817e-05
2021-02-11 13:30:00,37376.99,0.0,1.0,1.0,0.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-11 13:35:00,37457.74,0.0021580897356104217,1.0,1.0,1.0,0.0,1.0,1,1,0.0021580897356104217,-0.0028419102643895784
2021-02-11 13:40:00,37457.74,0.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-0.0,-0.005
2021-02-11 13:45:00,37454.83,-7.769056652199825e-05,1.0,1.0,1.0,1.0,1.0,-1,-1,7.769056652199825e-05,7.769056652199825e-05
2021-02-11 13:50:00,37454.83,0.0,0.0,1.0,1.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-11 13:55:00,38000.0,0.014450486116709009,1.0,0.0,1.0,1.0,1.0,1,-1,-0.014450486116709009,-0.014450486116709009
2021-02-11 14:00:00,38000.0,0.0,1.0,1.0,0.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-11 14:05:00,38365.87,0.009582102565192173,1.0,1.0,1.0,0.0,1.0,1,1,0.009582102565192173,0.004582102565192173
2021-02-11 14:10:00,38365.87,0.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-0.0,-0.005
2021-02-11 14:15:00,37927.36,-0.011495510911328539,1.0,1.0,1.0,1.0,1.0,-1,-1,0.011495510911328539,0.011495510911328539
2021-02-11 14:20:00,37927.36,0.0,0.0,1.0,1.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-11 14:25:00,37917.81,-0.00025182882576365564,1.0,0.0,1.0,1.0,1.0,-1,-1,0.00025182882576365564,0.00025182882576365564
2021-02-11 14:30:00,37917.81,0.0,0.0,1.0,0.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-11 14:35:00,38168.05,0.0065778556563661095,1.0,0.0,1.0,0.0,1.0,1,1,0.0065778556563661095,0.0015778556563661094
2021-02-11 14:40:00,38168.05,0.0,1.0,1.0,0.0,1.0,0.0,-1,-1,-0.0,-0.005
2021-02-11 14:45:00,38168.04,-2.6199927196028347e-07,1.0,1.0,1.0,0.0,1.0,-1,1,-2.6199927196028347e-07,-0.00500026199927196
2021-02-11 14:50:00,38168.04,0.0,0.0,1.0,1.0,1.0,0.0,-1,-1,-0.0,-0.005
2021-02-11 14:55:00,37346.28,-0.021765207986577318,1.0,0.0,1.0,1.0,1.0,-1,-1,0.021765207986577318,0.021765207986577318
