<DATE>,returns,lag_1,lag_2,lag_3,lag_4,lag_5,direction,position,strategy,strategy_tc
2021-01-17,-0.00045459791597910463,0.0,0.0,1.0,1.0,0.0,-1,-1,0.00045459791597910463,-0.004545402084020896
2021-01-17,-0.0012487594527233236,0.0,0.0,0.0,1.0,1.0,-1,-1,0.0012487594527233236,0.0012487594527233236
2021-01-17,0.0012725435435461442,0.0,0.0,0.0,0.0,1.0,1,-1,-0.0012725435435461442,-0.0012725435435461442
2021-01-17,0.0024313844871967903,1.0,0.0,0.0,0.0,0.0,1,1,0.0024313844871967903,-0.00256861551280321
2021-01-17,-0.001019343882205345,1.0,1.0,0.0,0.0,0.0,-1,1,-0.001019343882205345,-0.001019343882205345
2021-01-17,-0.0016541051226635442,0.0,1.0,1.0,0.0,0.0,-1,-1,0.0016541051226635442,-0.003345894877336456
2021-01-17,0.0002308720748093274,0.0,0.0,1.0,1.0,0.0,1,-1,-0.0002308720748093274,-0.0002308720748093274
2021-01-17,-0.0011114736287377825,1.0,0.0,0.0,1.0,1.0,-1,1,-0.0011114736287377825,-0.006111473628737782
2021-01-17,0.0013548809973491038,0.0,1.0,0.0,0.0,1.0,1,-1,-0.0013548809973491038,-0.006354880997349104
2021-01-17,-0.0004798770040037967,1.0,0.0,1.0,0.0,0.0,-1,1,-0.0004798770040037967,-0.005479877004003797
2021-01-17,0.001979581327649491,0.0,1.0,0.0,1.0,0.0,1,-1,-0.001979581327649491,-0.006979581327649491
2021-01-17,0.00415470112334721,1.0,0.0,1.0,0.0,1.0,1,1,0.00415470112334721,-0.0008452988766527898
2021-01-17,0.00013073004403642494,1.0,1.0,0.0,1.0,0.0,1,1,0.00013073004403642494,0.00013073004403642494
2021-01-17,0.0003072873710301058,1.0,1.0,1.0,0.0,1.0,1,1,0.0003072873710301058,0.0003072873710301058
2021-01-17,-0.0003517892971366574,1.0,1.0,1.0,1.0,0.0,-1,1,-0.0003517892971366574,-0.0003517892971366574
2021-01-17,-0.0006552419238675702,0.0,1.0,1.0,1.0,1.0,-1,-1,0.0006552419238675702,-0.00434475807613243
2021-01-17,-0.000691878254247736,0.0,0.0,1.0,1.0,1.0,-1,-1,0.000691878254247736,0.000691878254247736
2021-01-17,-0.0015818410768062027,0.0,0.0,0.0,1.0,1.0,-1,-1,0.0015818410768062027,0.0015818410768062027
2021-01-17,-0.0007171819800797099,0.0,0.0,0.0,0.0,1.0,-1,-1,0.0007171819800797099,0.0007171819800797099
2021-01-17,-0.0009467978553888861,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0009467978553888861,0.0009467978553888861
2021-01-17,-0.0013239470649520806,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0013239470649520806,0.0013239470649520806
2021-01-17,-0.0023207829644823932,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0023207829644823932,0.0023207829644823932
2021-01-17,0.00023694705746200322,0.0,0.0,0.0,0.0,0.0,1,-1,-0.00023694705746200322,-0.00023694705746200322
2021-01-17,0.0006614720797272889,1.0,0.0,0.0,0.0,0.0,1,1,0.0006614720797272889,-0.004338527920272711
2021-01-17,-8.966549173531225e-05,1.0,1.0,0.0,0.0,0.0,-1,1,-8.966549173531225e-05,-8.966549173531225e-05
2021-01-17,-0.0002900668925797829,0.0,1.0,1.0,0.0,0.0,-1,-1,0.0002900668925797829,-0.004709933107420217
2021-01-17,-0.0013744068022858095,0.0,0.0,1.0,1.0,0.0,-1,-1,0.0013744068022858095,0.0013744068022858095
2021-01-17,-3.368265049083332e-05,0.0,0.0,0.0,1.0,1.0,-1,-1,3.368265049083332e-05,3.368265049083332e-05
2021-01-17,0.0023256460151676686,0.0,0.0,0.0,0.0,1.0,1,-1,-0.0023256460151676686,-0.0023256460151676686
2021-01-17,0.002040818462179026,1.0,0.0,0.0,0.0,0.0,1,1,0.002040818462179026,-0.002959181537820974
2021-01-17,-0.0004248854340796446,1.0,1.0,0.0,0.0,0.0,-1,1,-0.0004248854340796446,-0.0004248854340796446
2021-01-17,0.0042602406308110755,0.0,1.0,1.0,0.0,0.0,1,-1,-0.0042602406308110755,-0.009260240630811076
2021-01-17,0.0034281896634896303,1.0,0.0,1.0,1.0,0.0,1,1,0.0034281896634896303,-0.0015718103365103698
2021-01-17,0.0006767438893697375,1.0,1.0,0.0,1.0,1.0,1,1,0.0006767438893697375,0.0006767438893697375
2021-01-17,0.0013493465198684662,1.0,1.0,1.0,0.0,1.0,1,1,0.0013493465198684662,0.0013493465198684662
2021-01-17,0.0034620019776424355,1.0,1.0,1.0,1.0,0.0,1,1,0.0034620019776424355,0.0034620019776424355
2021-01-17,0.005196024961200956,1.0,1.0,1.0,1.0,1.0,1,1,0.005196024961200956,0.005196024961200956
2021-01-17,0.003856134826471676,1.0,1.0,1.0,1.0,1.0,1,1,0.003856134826471676,0.003856134826471676
2021-01-17,0.0007270938435350033,1.0,1.0,1.0,1.0,1.0,1,1,0.0007270938435350033,0.0007270938435350033
2021-01-17,0.0013407298472086426,1.0,1.0,1.0,1.0,1.0,1,1,0.0013407298472086426,0.0013407298472086426
2021-01-17,0.0015187770903795693,1.0,1.0,1.0,1.0,1.0,1,1,0.0015187770903795693,0.0015187770903795693
2021-01-17,-0.0005000964186539651,1.0,1.0,1.0,1.0,1.0,-1,1,-0.0005000964186539651,-0.0005000964186539651
2021-01-17,-0.0005712606951446471,0.0,1.0,1.0,1.0,1.0,-1,-1,0.0005712606951446471,-0.004428739304855353
2021-01-17,-0.0007981298264570203,0.0,0.0,1.0,1.0,1.0,-1,-1,0.0007981298264570203,0.0007981298264570203
2021-01-17,-0.000391794169736159,0.0,0.0,0.0,1.0,1.0,-1,-1,0.000391794169736159,0.000391794169736159
2021-01-17,-0.0011968097435628691,0.0,0.0,0.0,0.0,1.0,-1,-1,0.0011968097435628691,0.0011968097435628691
2021-01-17,0.001162674062419503,0.0,0.0,0.0,0.0,0.0,1,-1,-0.001162674062419503,-0.001162674062419503
2021-01-17,0.0011817815980367677,1.0,0.0,0.0,0.0,0.0,1,1,0.0011817815980367677,-0.0038182184019632326
2021-01-17,-0.0013729629491515143,1.0,1.0,0.0,0.0,0.0,-1,1,-0.0013729629491515143,-0.0013729629491515143
2021-01-17,-0.000989264376845192,0.0,1.0,1.0,0.0,0.0,-1,-1,0.000989264376845192,-0.004010735623154808
2021-01-17,-0.001984209088675179,0.0,0.0,1.0,1.0,0.0,-1,-1,0.001984209088675179,0.001984209088675179
2021-01-17,-0.0013268255046677926,0.0,0.0,0.0,1.0,1.0,-1,-1,0.0013268255046677926,0.0013268255046677926
2021-01-17,0.0022509988632065402,0.0,0.0,0.0,0.0,1.0,1,-1,-0.0022509988632065402,-0.0022509988632065402
2021-01-17,0.0015192635521050486,1.0,0.0,0.0,0.0,0.0,1,1,0.0015192635521050486,-0.0034807364478949515
2021-01-17,-0.0036139125533763,1.0,1.0,0.0,0.0,0.0,-1,1,-0.0036139125533763,-0.0036139125533763
2021-01-17,-0.0023629393534452233,0.0,1.0,1.0,0.0,0.0,-1,-1,0.0023629393534452233,-0.002637060646554777
2021-01-17,-0.003219053834322752,0.0,0.0,1.0,1.0,0.0,-1,-1,0.003219053834322752,0.003219053834322752
2021-01-17,-0.0016078960112352947,0.0,0.0,0.0,1.0,1.0,-1,-1,0.0016078960112352947,0.0016078960112352947
2021-01-18,-1.65754785136745e-05,0.0,0.0,0.0,0.0,1.0,-1,-1,1.65754785136745e-05,1.65754785136745e-05
2021-01-18,-0.0002182694282271117,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0002182694282271117,0.0002182694282271117
2021-01-18,-0.00039659865358464687,0.0,0.0,0.0,0.0,0.0,-1,-1,0.00039659865358464687,0.00039659865358464687
2021-01-18,-2.902559020644545e-05,0.0,0.0,0.0,0.0,0.0,-1,-1,2.902559020644545e-05,2.902559020644545e-05
