<DATE>,returns,lag_1,lag_2,lag_3,lag_4,lag_5,direction,position,strategy,strategy_tc
2018-12-07,-0.04494922275547466,0.0,0.0,0.0,0.0,1.0,-1,-1,0.04494922275547466,0.03994922275547466
2018-12-08,-0.011314003607227667,0.0,0.0,0.0,0.0,0.0,-1,-1,0.011314003607227667,0.011314003607227667
2018-12-09,0.024355526856808273,0.0,0.0,0.0,0.0,0.0,1,-1,-0.024355526856808273,-0.024355526856808273
2018-12-10,-0.011763806759937568,1.0,0.0,0.0,0.0,0.0,-1,1,-0.011763806759937568,-0.016763806759937567
2018-12-11,-0.02442389086022469,0.0,1.0,0.0,0.0,0.0,-1,-1,0.02442389086022469,0.01942389086022469
2018-12-12,-0.001880337097961768,0.0,0.0,1.0,0.0,0.0,-1,-1,0.001880337097961768,0.001880337097961768
2018-12-13,-0.0156967984885105,0.0,0.0,0.0,1.0,0.0,-1,-1,0.0156967984885105,0.0156967984885105
2018-12-14,-0.031073849985226637,0.0,0.0,0.0,0.0,1.0,-1,-1,0.031073849985226637,0.031073849985226637
2018-12-15,-0.009770105584800803,0.0,0.0,0.0,0.0,0.0,-1,-1,0.009770105584800803,0.009770105584800803
2018-12-16,1.5378937008150284e-05,0.0,0.0,0.0,0.0,0.0,1,-1,-1.5378937008150284e-05,-1.5378937008150284e-05
2018-12-17,0.042435038227605595,1.0,0.0,0.0,0.0,0.0,1,1,0.042435038227605595,0.0374350382276056
2018-12-18,0.05021316312122431,1.0,1.0,0.0,0.0,0.0,1,1,0.05021316312122431,0.05021316312122431
2018-12-19,0.03340561169206054,1.0,1.0,1.0,0.0,0.0,1,1,0.03340561169206054,0.03340561169206054
2018-12-20,0.06787900269389217,1.0,1.0,1.0,1.0,0.0,1,1,0.06787900269389217,0.06787900269389217
2018-12-21,0.014789880397322768,1.0,1.0,1.0,1.0,1.0,1,1,0.014789880397322768,0.014789880397322768
2018-12-22,-0.02566194773921909,1.0,1.0,1.0,1.0,1.0,-1,1,-0.02566194773921909,-0.02566194773921909
2018-12-23,0.016445512220807697,0.0,1.0,1.0,1.0,1.0,1,-1,-0.016445512220807697,-0.0214455122208077
2018-12-24,0.022699050323081865,1.0,0.0,1.0,1.0,1.0,1,1,0.022699050323081865,0.017699050323081864
2018-12-25,-0.02398228151857105,1.0,1.0,0.0,1.0,1.0,-1,1,-0.02398228151857105,-0.02398228151857105
2018-12-26,-0.03286903877682266,0.0,1.0,1.0,0.0,1.0,-1,-1,0.03286903877682266,0.027869038776822657
2018-12-27,-0.022748672768085947,0.0,0.0,1.0,1.0,0.0,-1,-1,0.022748672768085947,0.022748672768085947
2018-12-28,0.010211568655962929,0.0,0.0,0.0,1.0,1.0,1,-1,-0.010211568655962929,-0.010211568655962929
2018-12-29,0.040284580205255834,1.0,0.0,0.0,0.0,1.0,1,1,0.040284580205255834,0.035284580205255836
2018-12-30,-0.005631031367365735,1.0,1.0,0.0,0.0,0.0,-1,1,-0.005631031367365735,-0.005631031367365735
2018-12-31,-0.027652055624181552,0.0,1.0,1.0,0.0,0.0,-1,-1,0.027652055624181552,0.02265205562418155
2019-01-01,-0.013783873965619916,0.0,0.0,1.0,1.0,0.0,-1,-1,0.013783873965619916,0.013783873965619916
2019-01-02,0.028473641823342787,0.0,0.0,0.0,1.0,1.0,1,-1,-0.028473641823342787,-0.028473641823342787
2019-01-03,0.008123500621465192,1.0,0.0,0.0,0.0,1.0,1,1,0.008123500621465192,0.003123500621465192
2019-01-04,-0.011610491352460112,1.0,1.0,0.0,0.0,0.0,-1,1,-0.011610491352460112,-0.011610491352460112
2019-01-05,0.0029792548538452646,0.0,1.0,1.0,0.0,0.0,1,-1,-0.0029792548538452646,-0.007979254853845265
2019-01-06,0.027837413950212164,1.0,0.0,1.0,1.0,0.0,1,1,0.027837413950212164,0.022837413950212163
2019-01-07,0.02164246506806056,1.0,1.0,0.0,1.0,1.0,1,1,0.02164246506806056,0.02164246506806056
2019-01-08,-0.004927998097577675,1.0,1.0,1.0,0.0,1.0,-1,1,-0.004927998097577675,-0.004927998097577675
2019-01-09,0.000964824741743016,0.0,1.0,1.0,1.0,0.0,1,-1,-0.000964824741743016,-0.0059648247417430165
2019-01-10,-0.04839227528381902,1.0,0.0,1.0,1.0,1.0,-1,1,-0.04839227528381902,-0.05339227528381902
2019-01-11,-0.052770048748519385,0.0,1.0,0.0,1.0,1.0,-1,-1,0.052770048748519385,0.04777004874851939
2019-01-12,0.00037427552852558905,0.0,0.0,1.0,0.0,1.0,1,-1,-0.00037427552852558905,-0.00037427552852558905
2019-01-13,-0.015672183405882223,1.0,0.0,0.0,1.0,0.0,-1,1,-0.015672183405882223,-0.020672183405882224
2019-01-14,0.004626975459857464,0.0,1.0,0.0,0.0,1.0,1,-1,-0.004626975459857464,-0.009626975459857464
2019-01-15,0.009965711842846225,1.0,0.0,1.0,0.0,0.0,1,1,0.009965711842846225,0.004965711842846225
2019-01-16,-0.011459560188977166,1.0,1.0,0.0,1.0,0.0,-1,1,-0.011459560188977166,-0.011459560188977166
2019-01-17,0.008257953639661446,0.0,1.0,1.0,0.0,1.0,1,-1,-0.008257953639661446,-0.013257953639661445
2019-01-18,0.004080322614545743,1.0,0.0,1.0,1.0,0.0,1,1,0.004080322614545743,-0.0009196773854542569
2019-01-19,0.008674536890411538,1.0,1.0,0.0,1.0,1.0,1,1,0.008674536890411538,0.008674536890411538
2019-01-20,-0.009528643864221574,1.0,1.0,1.0,0.0,1.0,-1,1,-0.009528643864221574,-0.009528643864221574
2019-01-21,-0.023154925855200792,0.0,1.0,1.0,1.0,0.0,-1,-1,0.023154925855200792,0.01815492585520079
2019-01-22,0.003816667936499311,0.0,0.0,1.0,1.0,1.0,1,-1,-0.003816667936499311,-0.003816667936499311
2019-01-23,0.00028151819323028596,1.0,0.0,0.0,1.0,1.0,1,1,0.00028151819323028596,-0.0047184818067697145
2019-01-24,-0.0019206352785782024,1.0,1.0,0.0,0.0,1.0,-1,1,-0.0019206352785782024,-0.0019206352785782024
2019-01-25,0.0020390722176652216,0.0,1.0,1.0,0.0,0.0,1,-1,-0.0020390722176652216,-0.007039072217665221
2019-01-26,0.002076635818025985,1.0,0.0,1.0,1.0,0.0,1,1,0.002076635818025985,-0.002923364181974015
2019-01-27,-0.0019289576391589493,1.0,1.0,0.0,1.0,1.0,-1,1,-0.0019289576391589493,-0.0019289576391589493
2019-01-28,-0.021546090717189523,0.0,1.0,1.0,0.0,1.0,-1,-1,0.021546090717189523,0.016546090717189522
2019-01-29,-0.021864880758530506,0.0,0.0,1.0,1.0,0.0,-1,-1,0.021864880758530506,0.021864880758530506
2019-01-30,0.002455754089522323,0.0,0.0,0.0,1.0,1.0,1,-1,-0.002455754089522323,-0.002455754089522323
2019-01-31,0.004059814983843116,1.0,0.0,0.0,0.0,1.0,1,1,0.004059814983843116,-0.0009401850161568845
2019-02-01,-0.0005031417548968356,1.0,1.0,0.0,0.0,0.0,-1,1,-0.0005031417548968356,-0.0005031417548968356
2019-02-02,0.003045338001095733,0.0,1.0,1.0,0.0,0.0,1,-1,-0.003045338001095733,-0.008045338001095734
2019-02-03,-0.004459248538003326,1.0,0.0,1.0,1.0,0.0,-1,1,-0.004459248538003326,-0.009459248538003326
2019-02-04,-0.005072924944457756,0.0,1.0,0.0,1.0,1.0,-1,-1,0.005072924944457756,7.292494445775618e-05
2019-02-05,0.0004758630564677988,0.0,0.0,1.0,0.0,1.0,1,-1,-0.0004758630564677988,-0.0004758630564677988
2019-02-06,-0.005608303996508312,1.0,0.0,0.0,1.0,0.0,-1,1,-0.005608303996508312,-0.010608303996508313
2019-02-07,-0.009109504155237284,0.0,1.0,0.0,0.0,1.0,-1,-1,0.009109504155237284,0.004109504155237284
2019-02-08,0.03403147204058603,0.0,0.0,1.0,0.0,0.0,1,-1,-0.03403147204058603,-0.03403147204058603
2019-02-09,0.037621399009468426,1.0,0.0,0.0,1.0,0.0,1,1,0.037621399009468426,0.03262139900946843
2019-02-10,0.003943533780087374,1.0,1.0,0.0,0.0,1.0,1,1,0.003943533780087374,0.003943533780087374
2019-02-11,-0.004064485837862967,1.0,1.0,1.0,0.0,0.0,-1,1,-0.004064485837862967,-0.004064485837862967
2019-02-12,-0.006341567064459413,0.0,1.0,1.0,1.0,0.0,-1,-1,0.006341567064459413,0.0013415670644594127
2019-02-13,-0.002255910255039004,0.0,0.0,1.0,1.0,1.0,-1,-1,0.002255910255039004,0.002255910255039004
2019-02-14,-0.0028406191265229557,0.0,0.0,0.0,1.0,1.0,-1,-1,0.0028406191265229557,0.0028406191265229557
2019-02-15,-0.0012632359715385125,0.0,0.0,0.0,0.0,1.0,-1,-1,0.0012632359715385125,0.0012632359715385125
2019-02-16,0.00454879269285601,0.0,0.0,0.0,0.0,0.0,1,-1,-0.00454879269285601,-0.00454879269285601
2019-02-17,0.008144292460733485,1.0,0.0,0.0,0.0,0.0,1,1,0.008144292460733485,0.003144292460733485
2019-02-18,0.03745677418993005,1.0,1.0,0.0,0.0,0.0,1,1,0.03745677418993005,0.03745677418993005
2019-02-19,0.037858697796270414,1.0,1.0,1.0,0.0,0.0,1,1,0.037858697796270414,0.037858697796270414
2019-02-20,0.0068655446382664435,1.0,1.0,1.0,1.0,0.0,1,1,0.0068655446382664435,0.0068655446382664435
2019-02-21,-0.0021166335950004228,1.0,1.0,1.0,1.0,1.0,-1,1,-0.0021166335950004228,-0.0021166335950004228
2019-02-22,0.004218688994613718,0.0,1.0,1.0,1.0,1.0,1,-1,-0.004218688994613718,-0.009218688994613717
2019-02-23,0.028363849757342137,1.0,0.0,1.0,1.0,1.0,1,1,0.028363849757342137,0.023363849757342136
2019-02-24,-0.023658492570590144,1.0,1.0,0.0,1.0,1.0,-1,1,-0.023658492570590144,-0.023658492570590144
2019-02-25,-0.03914179461188739,0.0,1.0,1.0,0.0,1.0,-1,-1,0.03914179461188739,0.03414179461188739
2019-02-26,0.0027554738367770878,0.0,0.0,1.0,1.0,0.0,1,-1,-0.0027554738367770878,-0.0027554738367770878
2019-02-27,-0.005814966011471434,1.0,0.0,0.0,1.0,1.0,-1,1,-0.005814966011471434,-0.010814966011471434
2019-02-28,0.0011680597969253824,0.0,1.0,0.0,0.0,1.0,1,-1,-0.0011680597969253824,-0.0061680597969253825
2019-03-01,0.004187752614385292,1.0,0.0,1.0,0.0,0.0,1,1,0.004187752614385292,-0.000812247385614708
2019-03-02,0.0019069758973658249,1.0,1.0,0.0,1.0,0.0,1,1,0.0019069758973658249,0.0019069758973658249
2019-03-03,-0.0034085227724776693,1.0,1.0,1.0,0.0,1.0,-1,1,-0.0034085227724776693,-0.0034085227724776693
2019-03-04,-0.01589990111848178,0.0,1.0,1.0,1.0,0.0,-1,-1,0.01589990111848178,0.01089990111848178
2019-03-05,0.007185729368619458,0.0,0.0,1.0,1.0,1.0,1,-1,-0.007185729368619458,-0.007185729368619458
2019-03-06,0.019793271255649825,1.0,0.0,0.0,1.0,1.0,1,1,0.019793271255649825,0.014793271255649824
2019-03-07,0.0033285285363087833,1.0,1.0,0.0,0.0,1.0,1,1,0.0033285285363087833,0.0033285285363087833
2019-03-08,-0.0026257769249040594,1.0,1.0,1.0,0.0,0.0,-1,1,-0.0026257769249040594,-0.0026257769249040594
2019-03-09,0.005188152587902416,0.0,1.0,1.0,1.0,0.0,1,-1,-0.005188152587902416,-0.010188152587902417
