time,Mid,returns,up,down,rets_up,rets_down,rs,rsi,momentum
1/30/2021 4:15,33415.55,-0.012241487,0,1,0,-0.012241487,,,
1/30/2021 4:20,33415.55,0,0,0,0,0,,,
1/30/2021 4:25,33409.35,-0.00018556,0,1,0,-0.00018556,,,
1/30/2021 4:30,33409.35,0,0,0,0,0,,,
1/30/2021 4:35,33053.6,-0.010705315,0,1,0,-0.010705315,,,
1/30/2021 4:40,33053.6,0,0,0,0,0,,,
1/30/2021 4:45,33049.71,-0.000117695,0,1,0,-0.000117695,,,
1/30/2021 4:50,33049.71,0,0,0,0,0,,,
1/30/2021 4:55,33016.22,-0.001013836,0,1,0,-0.001013836,,,
1/30/2021 5:00,33016.22,0,0,0,0,0,,,-1.2%
1/30/2021 5:05,33016.53,9.39E-06,1,0,9.38928E-06,0,,,-1.2%
1/30/2021 5:10,33016.53,0,0,0,0,0,,,-1.2%
1/30/2021 5:15,33060.23,0.001322704,1,0,0.001322704,0,,,-1.0%
1/30/2021 5:20,33060.23,0,0,0,0,0,0.4,29,0.0%
1/30/2021 5:25,33060.22,-3.02E-07,0,1,0,-3.02478E-07,0.4,29,0.0%
1/30/2021 5:30,33060.22,0,0,0,0,0,0.4,29,0.0%
1/30/2021 5:35,32952.07,-0.003276666,0,1,0,-0.003276666,0.4,29,-0.3%
1/30/2021 5:40,32952.07,0,0,0,0,0,0.4,29,-0.2%
1/30/2021 5:45,32952.98,2.76E-05,1,0,2.76155E-05,0,0.8,43,-0.2%
1/30/2021 5:50,32952.98,0,0,0,0,0,0.8,43,-0.2%
1/30/2021 5:55,33070.8,0.003569021,1,0,0.003569021,0,1.3,57,0.2%
1/30/2021 6:00,33070.8,0,0,0,0,0,1.3,57,0.0%
1/30/2021 6:05,33052.81,-0.000544132,0,1,0,-0.000544132,1.3,57,0.0%
1/30/2021 6:10,33052.81,0,0,0,0,0,1.3,57,0.0%
1/30/2021 6:15,32766.3,-0.008706037,0,1,0,-0.008706037,0.8,43,-0.9%
1/30/2021 6:20,32766.3,0,0,0,0,0,0.8,43,-0.6%
1/30/2021 6:25,32760.51,-0.000176722,0,1,0,-0.000176722,0.4,29,-0.6%
