<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,5,20201208,000000,19126.9,19126.9,19107.2,19108.5,0,0
BTC.V,5,20201208,000500,19107.6,19110.8,19093.7,19096,0,0
BTC.V,5,20201208,001000,19094.2,19104.6,19089.9,19102.5,0,0
BTC.V,5,20201208,001500,19105.3,19114,19098.5,19114,0,0
BTC.V,5,20201208,002000,19115.3,19152.9,19115.3,19152.9,0,0
BTC.V,5,20201208,002500,19155.1,19185.1,19155.1,19182,0,0
BTC.V,5,20201208,003000,19175.2,19191,19175.2,19189.5,0,0
BTC.V,5,20201208,003500,19185.8,19210.7,19185.8,19209.5,0,0
BTC.V,5,20201208,004000,19214.5,19221.8,19183.4,19204.7,0,0
BTC.V,5,20201208,004500,19209.8,19209.8,19196.6,19197.8,0,0
BTC.V,5,20201208,005000,19198.3,19203.2,19194.6,19197.9,0,0
BTC.V,5,20201208,005500,19205.8,19205.8,19178.6,19179.1,0,0
BTC.V,5,20201208,010000,19181.4,19196.4,19166.4,19166.4,0,0
BTC.V,5,20201208,010500,19164.3,19169.3,19148.1,19161.8,0,0
BTC.V,5,20201208,011000,19163,19177.8,19163,19177.8,0,0
BTC.V,5,20201208,011500,19178.9,19178.9,19156.6,19166.2,0,0
BTC.V,5,20201208,012000,19167.8,19168.9,19161.2,19163.1,0,0
BTC.V,5,20201208,012500,19163.4,19176,19161.3,19173.1,0,0
BTC.V,5,20201208,013000,19172.4,19200.6,19171.8,19200.2,0,0
BTC.V,5,20201208,013500,19193.3,19207.8,19192.6,19207.7,0,0
BTC.V,5,20201208,014000,19210.8,19220.5,19210.8,19220.3,0,0
BTC.V,5,20201208,014500,19220.7,19220.7,19204.1,19217.5,0,0
BTC.V,5,20201208,015000,19220.4,19231.2,19220.4,19230.3,0,0
BTC.V,5,20201208,015500,19230.5,19236.3,19230.5,19234.8,0,0
BTC.V,5,20201208,020000,19235.8,19238,19215.5,19215.5,0,0
BTC.V,5,20201208,020500,19215.6,19220.3,19211.3,19216.4,0,0
BTC.V,5,20201208,021000,19218.1,19218.2,19207.4,19207.4,0,0
BTC.V,5,20201208,021500,19208.9,19211.4,19173.8,19174.6,0,0
BTC.V,5,20201208,022000,19173.8,19194,19173.8,19192.6,0,0
BTC.V,5,20201208,022500,19194.6,19202.9,19191.8,19199.7,0,0
BTC.V,5,20201208,023000,19199.3,19202.2,19193.3,19193.3,0,0
BTC.V,5,20201208,023500,19193,19193,19164.3,19188.9,0,0
BTC.V,5,20201208,024000,19190.2,19191.9,19183.1,19184.5,0,0
BTC.V,5,20201208,024500,19184.9,19197.4,19184.1,19197.4,0,0
BTC.V,5,20201208,025000,19197.4,19220.7,19197.2,19220.7,0,0
BTC.V,5,20201208,025500,19222.1,19225,19217.1,19225,0,0
BTC.V,5,20201208,030000,19224.7,19224.7,19206.7,19206.7,0,0
BTC.V,5,20201208,030500,19205.1,19208.9,19192.2,19192.2,0,0
BTC.V,5,20201208,031000,19194.4,19196.1,19192.2,19196,0,0
BTC.V,5,20201208,031500,19192.1,19213.1,19192.1,19213.1,0,0
BTC.V,5,20201208,032000,19214,19215.6,19200.2,19200.2,0,0
BTC.V,5,20201208,032500,19192.1,19197.6,19183.6,19183.9,0,0
BTC.V,5,20201208,033000,19181.8,19187,19181.8,19182.6,0,0
BTC.V,5,20201208,033500,19178.8,19178.8,19169.6,19177.3,0,0
BTC.V,5,20201208,034000,19175.2,19191.8,19175.2,19191.8,0,0
BTC.V,5,20201208,034500,19194,19197.1,19191.3,19192.1,0,0
BTC.V,5,20201208,035000,19188.9,19190.2,19169.1,19177.6,0,0
BTC.V,5,20201208,035500,19177,19188.6,19177,19186.6,0,0
BTC.V,5,20201208,040000,19185.6,19191.2,19185.6,19191.2,0,0
BTC.V,5,20201208,040500,19194.4,19199.3,19194.4,19198.5,0,0
BTC.V,5,20201208,041000,19189.9,19189.9,19174.9,19174.9,0,0
BTC.V,5,20201208,041500,19174.7,19182.1,19150.3,19156.7,0,0
BTC.V,5,20201208,042000,19158,19159,19147.1,19149.2,0,0
BTC.V,5,20201208,042500,19149.6,19152.6,19149.4,19150.2,0,0
BTC.V,5,20201208,043000,19151.2,19158.3,19150.1,19157.7,0,0
BTC.V,5,20201208,043500,19158.3,19176.3,19157,19175.7,0,0
BTC.V,5,20201208,044000,19173.8,19178.6,19163.5,19163.5,0,0
BTC.V,5,20201208,044500,19162.3,19174.1,19154.5,19173,0,0
BTC.V,5,20201208,045000,19172.8,19186.2,19172.8,19182.6,0,0
BTC.V,5,20201208,045500,19181.7,19184.6,19170.2,19170.2,0,0
BTC.V,5,20201208,050000,19164.4,19169.3,19163.3,19169,0,0
BTC.V,5,20201208,050500,19171.3,19205.2,19171.3,19205.2,0,0
BTC.V,5,20201208,051000,19205.2,19212.6,19194.2,19207.8,0,0
BTC.V,5,20201208,051500,19209.9,19217.8,19200.1,19207.4,0,0
BTC.V,5,20201208,052000,19208.1,19211.8,19207.9,19208.3,0,0
BTC.V,5,20201208,052500,19207.4,19208.7,19195.8,19200.4,0,0
BTC.V,5,20201208,053000,19198.9,19211.1,19194.5,19196.6,0,0
BTC.V,5,20201208,053500,19196.4,19196.8,19186.9,19190,0,0
BTC.V,5,20201208,054000,19189.4,19198.9,19189.4,19197.5,0,0
BTC.V,5,20201208,054500,19197.2,19199.8,19185.3,19185.3,0,0
