<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,60,20200417,010000,7081.09,7178.38,7081.09,7171.03,0,0
BTC.V,60,20200417,020000,7172.87,7203.68,7085.8,7115.92,0,0
BTC.V,60,20200417,030000,7116.6,7151.32,7044.62,7076.37,0,0
BTC.V,60,20200417,040000,7077.06,7140.38,7077.06,7123.34,0,0
BTC.V,60,20200417,050000,7121.87,7121.87,7077.54,7077.54,0,0
BTC.V,60,20200417,060000,7076.12,7101.26,7061.51,7093.43,0,0
BTC.V,60,20200417,070000,7093.34,7095.24,7029.35,7050.73,0,0
BTC.V,60,20200417,080000,7051.87,7091.42,7043.22,7081.11,0,0
BTC.V,60,20200417,090000,7078.65,7078.65,7036.82,7061.16,0,0
BTC.V,60,20200417,100000,7062.88,7078.17,7041.28,7061.78,0,0
BTC.V,60,20200417,110000,7060.89,7087.39,7045.96,7075.39,0,0
BTC.V,60,20200417,120000,7074.56,7135.91,7074.56,7114.48,0,0
BTC.V,60,20200417,130000,7113.92,7121.03,7095.2,7111.25,0,0
BTC.V,60,20200417,140000,7111.09,7128.42,7069.83,7087.21,0,0
BTC.V,60,20200417,150000,7085.86,7110.09,7081.52,7109.91,0,0
BTC.V,60,20200417,160000,7111.1,7113.05,7006.2,7063.74,0,0
BTC.V,60,20200417,170000,7071.49,7083.45,7027.21,7039.31,0,0
BTC.V,60,20200417,180000,7039.17,7072.29,7030.34,7050.6,0,0
BTC.V,60,20200417,190000,7050.03,7070.02,7048.63,7066.98,0,0
BTC.V,60,20200417,200000,7067.69,7073.68,7041.66,7049.9,0,0
BTC.V,60,20200417,210000,7049.73,7054.17,7031.18,7044.22,0,0
BTC.V,60,20200417,220000,7043.67,7093.28,7042.95,7075.4,0,0
BTC.V,60,20200417,230000,7076.38,7090.85,7058.3,7059.98,0,0
BTC.V,60,20200417,235900,7061.15,7084.5,7046.73,7052.61,0,0
BTC.V,60,20200418,010000,7052.53,7071.89,7052.42,7059.9,0,0
BTC.V,60,20200418,020000,7062.03,7154.36,7034.9,7035.16,0,0
BTC.V,60,20200418,030000,7037.21,7083.73,7034.38,7078.84,0,0
BTC.V,60,20200418,040000,7078.41,7097.09,7076.59,7080.45,0,0
BTC.V,60,20200418,050000,7083.07,7117.01,7083.07,7096.3,0,0
BTC.V,60,20200418,060000,7094.88,7118.29,7092.01,7102.64,0,0
BTC.V,60,20200418,070000,7102.65,7115.48,7096.54,7096.54,0,0
BTC.V,60,20200418,080000,7096.59,7127.55,7096.38,7113.62,0,0
BTC.V,60,20200418,090000,7113.28,7119.38,7100.69,7100.69,0,0
BTC.V,60,20200418,100000,7100.84,7112.24,7092.47,7104.96,0,0
BTC.V,60,20200418,110000,7104.84,7120.26,7095.69,7101.32,0,0
BTC.V,60,20200418,120000,7101.16,7109.08,7098.59,7098.9,0,0
BTC.V,60,20200418,130000,7098.92,7099.58,7066.29,7089.53,0,0
BTC.V,60,20200418,140000,7092.06,7128.47,7073.06,7121.08,0,0
BTC.V,60,20200418,150000,7118.83,7169.59,7095.33,7139.95,0,0
BTC.V,60,20200418,160000,7140.75,7268.65,7140.75,7251.38,0,0
BTC.V,60,20200418,170000,7252.45,7274.71,7227.45,7239.56,0,0
BTC.V,60,20200418,180000,7240.78,7256.96,7226.6,7246.8,0,0
BTC.V,60,20200418,190000,7248.2,7261.06,7174.47,7199.73,0,0
BTC.V,60,20200418,200000,7200.66,7220.94,7190.65,7199.78,0,0
BTC.V,60,20200418,210000,7198.73,7209.63,7189.29,7203.84,0,0
BTC.V,60,20200418,220000,7203.93,7234.69,7199.91,7224.89,0,0
BTC.V,60,20200418,230000,7224.34,7239.65,7214.4,7235.1,0,0
BTC.V,60,20200418,235900,7234.92,7246.04,7224.38,7230.87,0,0
BTC.V,60,20200419,010000,7230.93,7301.82,7225.26,7280.09,0,0
BTC.V,60,20200419,020000,7278.6,7288.17,7248.31,7264.66,0,0
BTC.V,60,20200419,030000,7264.34,7276.68,7211.5,7236.39,0,0
BTC.V,60,20200419,040000,7235.85,7242.55,7211.64,7238.82,0,0
BTC.V,60,20200419,050000,7237.42,7253.23,7224.55,7243.81,0,0
BTC.V,60,20200419,060000,7243.04,7246.2,7231.71,7242.21,0,0
BTC.V,60,20200419,070000,7242.25,7252.49,7235.4,7237.55,0,0
BTC.V,60,20200419,080000,7237.48,7238.31,7121.37,7128.79,0,0
BTC.V,60,20200419,090000,7128.89,7181.04,7125.86,7167.91,0,0
BTC.V,60,20200419,100000,7167.75,7173.56,7137.84,7157.64,0,0
BTC.V,60,20200419,110000,7158.85,7165.14,7136.16,7159.79,0,0
BTC.V,60,20200419,120000,7159.76,7194.29,7147.34,7188.75,0,0
BTC.V,60,20200419,130000,7189.04,7193.59,7169.03,7177.47,0,0
BTC.V,60,20200419,140000,7178.27,7178.52,7151.48,7170.43,0,0
BTC.V,60,20200419,150000,7170.49,7180.25,7160.19,7170.22,0,0
BTC.V,60,20200419,160000,7169.05,7169.74,7103.21,7109.86,0,0
BTC.V,60,20200419,170000,7111.05,7121,7072.6,7118.87,0,0
BTC.V,60,20200419,180000,7119.23,7129.06,7101.16,7108.85,0,0
BTC.V,60,20200419,190000,7108.33,7136.23,7100.78,7131.22,0,0
BTC.V,60,20200419,200000,7131.12,7178.89,7125.22,7163.05,0,0
BTC.V,60,20200419,210000,7167.75,7178.89,7151.78,7160.15,0,0
BTC.V,60,20200419,220000,7160.28,7162.56,7130.09,7149.64,0,0
BTC.V,60,20200419,230000,7147.43,7161.7,7129.86,7155.56,0,0
BTC.V,60,20200419,235900,7152.91,7209.87,7152.91,7205.19,0,0
BTC.V,60,20200420,010000,7201.81,7201.81,7169.29,7188.44,0,0
BTC.V,60,20200420,020000,7186.01,7196.76,7125.6,7131.01,0,0
BTC.V,60,20200420,030000,7132.84,7183.77,7107.09,7175.52,0,0
BTC.V,60,20200420,040000,7175.6,7177.29,7149.59,7169.77,0,0
BTC.V,60,20200420,050000,7170.93,7196.33,7162.24,7187.7,0,0
BTC.V,60,20200420,060000,7185.67,7193.8,7172.22,7178.13,0,0
BTC.V,60,20200420,070000,7178.36,7222.48,7178.14,7188.43,0,0
BTC.V,60,20200420,080000,7188.06,7195.42,7170.58,7188.53,0,0
BTC.V,60,20200420,090000,7185.86,7192.1,7167,7179.35,0,0
BTC.V,60,20200420,100000,7178.92,7201.67,7169.14,7195.1,0,0
BTC.V,60,20200420,110000,7195.8,7196.95,7150.39,7166.69,0,0
BTC.V,60,20200420,120000,7166.88,7169.58,7131.25,7158.58,0,0
BTC.V,60,20200420,130000,7158.84,7158.84,7054.66,7088.29,0,0
BTC.V,60,20200420,140000,7088.18,7089.48,6971.05,6975.35,0,0
BTC.V,60,20200420,150000,6972.8,7068.21,6929.46,7050,0,0
BTC.V,60,20200420,160000,7045.99,7061.79,7021.01,7035.17,0,0
BTC.V,60,20200420,170000,7034.42,7086.38,7027.13,7080.9,0,0
BTC.V,60,20200420,180000,7080.78,7105.46,7069.57,7083.5,0,0
BTC.V,60,20200420,190000,7084.17,7096.79,7046.48,7058.44,0,0
BTC.V,60,20200420,200000,7058.09,7058.89,6863.89,6884.95,0,0
