<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MATIC.V,D,20190430,000000,0.003667,0.005137,0.003667,0.004441,0,0
MATIC.V,D,20190501,000000,0.004441,0.004689,0.004042,0.004366,0,0
MATIC.V,D,20190502,000000,0.004366,0.004841,0.004071,0.004181,0,0
MATIC.V,D,20190503,000000,0.004181,0.00443,0.003912,0.0042,0,0
MATIC.V,D,20190504,000000,0.0042,0.004322,0.003854,0.003971,0,0
MATIC.V,D,20190505,000000,0.003971,0.004114,0.003592,0.003766,0,0
MATIC.V,D,20190506,000000,0.003766,0.003966,0.003564,0.003794,0,0
MATIC.V,D,20190507,000000,0.003794,0.003841,0.003317,0.003317,0,0
MATIC.V,D,20190508,000000,0.003317,0.003539,0.003299,0.003359,0,0
MATIC.V,D,20190509,000000,0.003359,0.003518,0.003024,0.003148,0,0
MATIC.V,D,20190510,000000,0.003148,0.003879,0.003116,0.003815,0,0
MATIC.V,D,20190511,000000,0.003815,0.00525,0.003815,0.004674,0,0
MATIC.V,D,20190512,000000,0.004674,0.005582,0.004396,0.005373,0,0
MATIC.V,D,20190513,000000,0.005373,0.00929,0.005373,0.008665,0,0
MATIC.V,D,20190514,000000,0.008665,0.01093,0.007262,0.007821,0,0
MATIC.V,D,20190515,000000,0.007821,0.01039,0.007284,0.009575,0,0
MATIC.V,D,20190516,000000,0.009575,0.01213,0.00811,0.01087,0,0
MATIC.V,D,20190517,000000,0.01087,0.01548,0.009362,0.01452,0,0
MATIC.V,D,20190518,000000,0.01452,0.01468,0.0117,0.01235,0,0
MATIC.V,D,20190519,000000,0.01235,0.02081,0.01235,0.02024,0,0
MATIC.V,D,20190520,000000,0.02024,0.03471,0.0188,0.02943,0,0
MATIC.V,D,20190521,000000,0.02943,0.04554,0.02408,0.02957,0,0
MATIC.V,D,20190522,000000,0.02957,0.03028,0.0196,0.02212,0,0
MATIC.V,D,20190523,000000,0.02212,0.03521,0.02212,0.02741,0,0
MATIC.V,D,20190524,000000,0.02741,0.02959,0.02231,0.02543,0,0
MATIC.V,D,20190525,000000,0.02543,0.02845,0.02313,0.02474,0,0
MATIC.V,D,20190526,000000,0.02474,0.02993,0.02321,0.02443,0,0
MATIC.V,D,20190527,000000,0.02443,0.02504,0.02073,0.0224,0,0
MATIC.V,D,20190528,000000,0.0224,0.02572,0.02075,0.0238,0,0
MATIC.V,D,20190529,000000,0.0238,0.02487,0.02201,0.02218,0,0
MATIC.V,D,20190530,000000,0.02218,0.02218,0.01879,0.01978,0,0
MATIC.V,D,20190531,000000,0.01978,0.02343,0.01978,0.02215,0,0
MATIC.V,D,20190601,000000,0.02215,0.02293,0.02062,0.02105,0,0
MATIC.V,D,20190602,000000,0.02105,0.02237,0.01949,0.0201,0,0
MATIC.V,D,20190603,000000,0.0201,0.02012,0.0181,0.01907,0,0
MATIC.V,D,20190604,000000,0.01907,0.02196,0.0175,0.02134,0,0
MATIC.V,D,20190605,000000,0.02134,0.02369,0.01979,0.02291,0,0
MATIC.V,D,20190606,000000,0.02291,0.02522,0.02233,0.02373,0,0
MATIC.V,D,20190607,000000,0.02373,0.02489,0.02249,0.02433,0,0
MATIC.V,D,20190608,000000,0.02433,0.02682,0.02333,0.02594,0,0
MATIC.V,D,20190609,000000,0.02594,0.02675,0.02431,0.02545,0,0
MATIC.V,D,20190610,000000,0.02545,0.02767,0.0247,0.02703,0,0
MATIC.V,D,20190611,000000,0.02703,0.02703,0.02351,0.02399,0,0
MATIC.V,D,20190612,000000,0.02399,0.02608,0.02289,0.02321,0,0
MATIC.V,D,20190613,000000,0.02321,0.02479,0.02224,0.02314,0,0
MATIC.V,D,20190614,000000,0.02314,0.02469,0.01974,0.02069,0,0
MATIC.V,D,20190615,000000,0.02069,0.02364,0.02069,0.02196,0,0
