date,time,Mid,Returns,Direction
1/29/2021,3:50:00,33674.95,NaN,-1
1/29/2021,4:00:00,33827.12,0.004509,1
1/29/2021,4:10:00,33415.55,-0.012241,-1
1/29/2021,4:20:00,33409.35,-0.000186,-1
1/29/2021,3:50:00,33674.95,NaN,-1
1/29/2021,4:00:00,33827.12,0.004509,1
1/29/2021,4:10:00,33415.55,-0.012241,-1
1/29/2021,4:20:00,33194.96,-0.006623,-1
1/29/2021,4:30:00,33197.69,0.000082,1
1/29/2021,4:00:00,33827.12,0.004509,1
1/29/2021,4:10:00,33415.55,-0.012241,-1
1/29/2021,4:20:00,33194.96,-0.006623,-1
1/29/2021,4:30:00,33053.6,-0.004268,-1
1/29/2021,4:40:00,33049.71,-0.000118,-1
1/29/2021,4:10:00,33415.55,-0.012241,-1
1/29/2021,4:20:00,33194.96,-0.006623,-1
1/29/2021,4:30:00,33053.6,-0.004268,-1
1/29/2021,4:40:00,32885,-0.005114,-1
1/29/2021,4:50:00,32885,0,-1
1/29/2021,4:20:00,33194.96,-0.006623,-1
1/29/2021,4:30:00,33053.6,-0.004268,-1
1/29/2021,4:40:00,32885,-0.005114,-1
1/29/2021,4:50:00,33016.22,0.003982,1
1/29/2021,5:00:00,33016.53,0.000009,1
1/29/2021,4:30:00,33053.6,-0.004268,-1
1/29/2021,4:40:00,32885,-0.005114,-1
1/29/2021,4:50:00,33016.22,0.003982,1
1/29/2021,5:00:00,33118.51,0.003093,1
1/29/2021,5:10:00,33118.4,-0.000003,-1
1/29/2021,4:40:00,32885,-5.11E-03,-1
1/29/2021,4:50:00,33016.22,3.98E-03,1
1/29/2021,5:00:00,33118.51,3.09E-03,1
1/29/2021,5:10:00,33060.23,-1.76E-03,-1
1/29/2021,5:20:00,33060.22,-3.02E-07,-1
1/29/2021,4:50:00,33016.22,0.003982,1
1/29/2021,5:00:00,33118.51,0.003093,1
1/29/2021,5:10:00,33060.23,-0.001761,-1
1/29/2021,5:20:00,33091.95,0.000959,1
1/29/2021,5:30:00,33103.62,0.000353,1
1/29/2021,5:00:00,33118.51,0.003093,1
1/29/2021,5:10:00,33060.23,-0.001761,-1
1/29/2021,5:20:00,33091.95,0.000959,1
1/29/2021,5:30:00,32952.07,-0.004236,-1
1/29/2021,5:40:00,32952.98,0.000028,1
1/29/2021,5:10:00,33060.23,-0.001761,-1
