,LMA,MinPrice,MaxPrice,Position,MARKET,STRATEGY,OUT
0,20,1,1,,4.557127971426597,4.557127971426597,0.0
854,180,11,9,,2.854716432113183,2.854716432113183,0.0
872,180,15,5,,2.854716432113183,2.854716432113183,0.0
871,180,15,3,,2.854716432113183,2.854716432113183,0.0
870,180,15,1,,2.854716432113183,2.854716432113183,0.0
869,180,13,19,,2.854716432113183,2.854716432113183,0.0
868,180,13,17,,2.854716432113183,2.854716432113183,0.0
867,180,13,15,,2.854716432113183,2.854716432113183,0.0
866,180,13,13,,2.854716432113183,2.854716432113183,0.0
865,180,13,11,,2.854716432113183,2.854716432113183,0.0
864,180,13,9,,2.854716432113183,2.854716432113183,0.0
863,180,13,7,,2.854716432113183,2.854716432113183,0.0
862,180,13,5,,2.854716432113183,2.854716432113183,0.0
861,180,13,3,,2.854716432113183,2.854716432113183,0.0
860,180,13,1,,2.854716432113183,2.854716432113183,0.0
859,180,11,19,,2.854716432113183,2.854716432113183,0.0
858,180,11,17,,2.854716432113183,2.854716432113183,0.0
857,180,11,15,,2.854716432113183,2.854716432113183,0.0
856,180,11,13,,2.854716432113183,2.854716432113183,0.0
873,180,15,7,,2.854716432113183,2.854716432113183,0.0
874,180,15,9,,2.854716432113183,2.854716432113183,0.0
875,180,15,11,,2.854716432113183,2.854716432113183,0.0
885,180,17,11,,2.854716432113183,2.854716432113183,0.0
892,180,19,5,,2.854716432113183,2.854716432113183,0.0
891,180,19,3,,2.854716432113183,2.854716432113183,0.0
890,180,19,1,,2.854716432113183,2.854716432113183,0.0
889,180,17,19,,2.854716432113183,2.854716432113183,0.0
888,180,17,17,,2.854716432113183,2.854716432113183,0.0
887,180,17,15,,2.854716432113183,2.854716432113183,0.0
886,180,17,13,,2.854716432113183,2.854716432113183,0.0
884,180,17,9,,2.854716432113183,2.854716432113183,0.0
876,180,15,13,,2.854716432113183,2.854716432113183,0.0
883,180,17,7,,2.854716432113183,2.854716432113183,0.0
882,180,17,5,,2.854716432113183,2.854716432113183,0.0
881,180,17,3,,2.854716432113183,2.854716432113183,0.0
880,180,17,1,,2.854716432113183,2.854716432113183,0.0
879,180,15,19,,2.854716432113183,2.854716432113183,0.0
878,180,15,17,,2.854716432113183,2.854716432113183,0.0
877,180,15,15,,2.854716432113183,2.854716432113183,0.0
855,180,11,11,,2.854716432113183,2.854716432113183,0.0
853,180,11,7,,2.854716432113183,2.854716432113183,0.0
813,180,3,7,,2.854716432113183,2.854716432113183,0.0
852,180,11,5,,2.854716432113183,2.854716432113183,0.0
831,180,7,3,,2.854716432113183,2.854716432113183,0.0
830,180,7,1,,2.854716432113183,2.854716432113183,0.0
829,180,5,19,,2.854716432113183,2.854716432113183,0.0
828,180,5,17,,2.854716432113183,2.854716432113183,0.0
827,180,5,15,,2.854716432113183,2.854716432113183,0.0
826,180,5,13,,2.854716432113183,2.854716432113183,0.0
825,180,5,11,,2.854716432113183,2.854716432113183,0.0
824,180,5,9,,2.854716432113183,2.854716432113183,0.0
823,180,5,7,,2.854716432113183,2.854716432113183,0.0
822,180,5,5,,2.854716432113183,2.854716432113183,0.0
821,180,5,3,,2.854716432113183,2.854716432113183,0.0
820,180,5,1,,2.854716432113183,2.854716432113183,0.0
819,180,3,19,,2.854716432113183,2.854716432113183,0.0
818,180,3,17,,2.854716432113183,2.854716432113183,0.0
817,180,3,15,,2.854716432113183,2.854716432113183,0.0
816,180,3,13,,2.854716432113183,2.854716432113183,0.0
815,180,3,11,,2.854716432113183,2.854716432113183,0.0
832,180,7,5,,2.854716432113183,2.854716432113183,0.0
833,180,7,7,,2.854716432113183,2.854716432113183,0.0
834,180,7,9,,2.854716432113183,2.854716432113183,0.0
844,180,9,9,,2.854716432113183,2.854716432113183,0.0
851,180,11,3,,2.854716432113183,2.854716432113183,0.0
850,180,11,1,,2.854716432113183,2.854716432113183,0.0
849,180,9,19,,2.854716432113183,2.854716432113183,0.0
848,180,9,17,,2.854716432113183,2.854716432113183,0.0
