date, symbol, under, expiration, strike, put/call, bid, ask, price, volume, open interest, implied vol, delta, gamma, rho, theta, vega, nonstd
2008-01-02,GEAG,GE,2008-01-19,35,C,2.08,2.11,2.1,3689,130709,0.3244,0.775274,0.12004,0.0115744,-0.023385,0.0230666,0
2008-01-02,GEAH,GE,2008-01-19,40,C,0.05,0.07,0.07,804,146710,0.265778,0.068093,0.0642568,0.00107095,-0.008402,0.0101162,0
2008-01-02,GEAS,GE,2008-01-19,37.5,C,0.47,0.5,0.48,4882,186489,0.258384,0.366417,0.189257,0.00569183,-0.0233894,0.0289665,0
2008-01-02,GEAV,GE,2008-01-19,42.5,C,0,0.02,0.02,22,70699,0.304921,0.0125196,0.013807,0.00019736,-0.00237628,0.00249383,0
2008-01-02,GEAZ,GE,2008-01-19,32.5,C,4.3,4.45,4.35,407,7410,0.42347,0.92415,0.0438072,0.0129739,-0.0145432,0.0109887,0
2008-01-02,GEBG,GE,2008-02-16,35,C,2.46,2.5,2.35,1214,996,0.28813,0.705576,0.0937416,0.0282768,-0.0144087,0.0439978,0
2008-01-02,GEBH,GE,2008-02-16,40,C,0.2,0.22,0.19,734,4873,0.223916,0.147417,0.0806435,0.00627941,-0.0074847,0.0294148,0
2008-01-02,GEBS,GE,2008-02-16,37.5,C,0.89,0.92,0.9,2653,3682,0.241175,0.422269,0.127137,0.0176212,-0.0136903,0.0499479,0
2008-01-02,GEBV,GE,2008-02-16,42.5,C,0.03,0.07,0.05,0,50,0.236264,0.042021,0.029743,0.00180179,-0.00307318,0.011447,0
2008-01-02,GEBZ,GE,2008-02-16,32.5,C,4.6,4.7,5.1,0,268,0.366847,0.848675,0.0500915,0.0320022,-0.0124821,0.0299336,0
2008-01-02,GECG,GE,2008-03-22,35,C,2.71,2.75,2.73,1241,10817,0.289545,0.667022,0.0733994,0.0467214,-0.0113958,0.0621576,0
2008-01-02,GECH,GE,2008-03-22,40,C,0.39,0.42,0.42,1909,35002,0.223911,0.224033,0.0781299,0.0168057,-0.00725173,0.0511657,0
2008-01-02,GECS,GE,2008-03-22,37.5,C,1.2,1.24,1.22,1794,26804,0.246889,0.453846,0.0938537,0.0331739,-0.0105926,0.0677702,0
2008-01-02,GECV,GE,2008-03-22,42.5,C,0.11,0.12,0.12,132,25739,0.218773,0.0846388,0.0414584,0.00643255,-0.00367291,0.0265272,0
2008-01-02,GECZ,GE,2008-03-22,32.5,C,4.7,4.85,4.6,693,4504,0.35629,0.795622,0.0465479,0.0524379,-0.010944,0.0485052,0
