date, open, high, low, last, volume, option volume, implied vol
2009-01-02,16.51,17.07,16.27,17.07,57067219,156654,0.439022
2009-01-05,17.17,17.24,16.5,16.63,72492128,149419,0.564124
2009-01-06,16.86,16.98,16.46,16.86,71130840,110332,0.569116
2009-01-07,16.67,16.7,16.01,16.11,70768345,114829,0.599406
2009-01-08,16.05,16.2028,15.72,16.14,62104043,179398,0.613815
2009-01-09,16.21,16.39,15.83,16,53096191,130661,0.623862
2009-01-12,15.965,16.2,15.68,15.83,62311814,129434,0.709327
2009-01-13,15.65,15.69,14.72,14.94,129011586,328033,0.783831
2009-01-14,14.59,14.64,14.02,14.11,100620132,179402,0.738568
2009-01-15,14.08,14.14,13.25,13.77,140400111,246721,0.755111
2009-01-16,14.2,14.34,13.06,13.96,128943402,350498,0.714324
2009-01-20,13.95,14.09,12.8,12.93,117766214,414412,0.866906
2009-01-21,11.88,13.23,11.88,13.03,147385302,427810,0.785259
2009-01-22,12.39,13.56,12.0715,13.48,151434982,776555,0.824037
2009-01-23,12.69,13.19,11.87,12.03,325228751,567413,0.804341
2009-01-26,12.48,12.65,12.17,12.42,124198449,299411,0.79476
2009-01-27,12.73,13.19,12.65,13.06,116342649,367908,0.668534
2009-01-28,13.31,13.75,13.17,13.5,115317835,160519,0.611356
2009-01-29,13.33,13.35,12.69,12.72,78807852,174601,0.662228
2009-01-30,12.72,12.8,12.01,12.13,110615512,224864,0.82585
2009-02-02,12.03,12.03,11.51,11.62,139469445,259293,0.860974
2009-02-03,11.88,11.88,11.32,11.37,125234808,177913,0.808442
2009-02-04,11.56,11.78,11.19,11.26,102944974,173264,0.79439
2009-02-05,11.09,11.28,10.66,10.85,194580166,363533,0.900443
2009-02-06,10.9,11.45,10.75,11.1,218485209,397586,0.850023
2009-02-09,11.34,12.9,11.12,12.64,232616440,436272,0.890501
2009-02-10,12.54,12.64,11.36,11.62,196063737,272665,0.855756
2009-02-11,11.95,12.05,11.71,11.94,87522004,156268,0.766594
2009-02-12,11.75,11.75,11.2,11.68,131654193,331566,0.77749
2009-02-13,11.55,11.74,11.35,11.44,85993651,120802,0.752151
2009-02-17,11.2,11.2,10.71,10.81,133536940,288810,1.08898
2009-02-18,11.07,11.15,10.68,10.86,95153939,951314,0.928625
2009-02-19,10.94,10.98,9.95,10.06,156640091,490626,0.926431
2009-02-20,9.71,9.84,8.98,9.38,324732961,578421,0.988624
2009-02-23,9.58,9.6,8.78,8.85,222764893,576273,1.24267
2009-02-24,8.95,9.26,8.43,9.08,256092468,500202,0.962949
2009-02-25,9.09,9.46,8.71,9.01,191526786,321841,0.905915
2009-02-26,9.28,9.75,9.01,9.1,154847161,215144,0.91221
2009-02-27,8.6,9.2,8.4,8.51,319842366,438159,1.11894
2009-03-02,8.29,8.3,7.51,7.6,294260992,454872,1.22115
2009-03-03,7.84,7.89,6.85,7.01,412228979,881204,1.31909
2009-03-04,7.24,7.25,5.7279,6.69,751828478,1211253,1.67933
2009-03-05,6.75,7.17,6.525,6.66,442746967,833840,1.65725
2009-03-06,7,7.25,6.66,7.06,318016299,535902,1.3747
2009-03-09,6.95,7.83,6.88,7.41,264326460,460274,1.37003
2009-03-10,8.01,8.99,7.95,8.87,367111629,808452,1.1556
2009-03-11,9.23,9.36,8.31,8.49,251141608,699124,1.11441
2009-03-12,8.73,9.78,8.43,9.57,353891629,1062038,0.943119
2009-03-13,9.9,9.98,9.3,9.62,216032688,390487,0.900945
2009-03-16,9.97,10.36,9.6,9.66,226083344,443902,1.09437
2009-03-17,9.85,10.05,9.44,10,150123482,333457,1.12115
2009-03-18,9.93,10.69,9.7,10.32,199145249,567514,0.920361
2009-03-19,11.2,11.35,9.95,10.13,286326216,754583,0.899335
2009-03-20,10.05,10.07,9.26,9.54,252637818,440452,0.951114
2009-03-23,10.28,10.45,9.78,10.43,212639366,361146,0.791931
2009-03-24,10.22,10.91,10.05,10.44,196335818,284472,0.832208
2009-03-25,10.74,11.09,10.09,10.49,209397566,272935,0.804393
2009-03-26,10.85,11,10.65,10.9,159432989,226726,0.766232
2009-03-27,10.77,11.03,10.65,10.78,104650060,158903,0.782284
2009-03-30,10.33,11.17,9.78,9.93,153881752,332122,0.940853
2009-03-31,10.33,10.46,9.93,10.11,131886992,294230,0.831079
2009-04-01,9.91,10.26,9.8,10.17,113822916,164965,0.803674
2009-04-02,10.75,11,10.57,10.74,145679384,309366,0.789251
2009-04-03,10.81,10.99,10.71,10.94,123527613,582058,0.879341
2009-04-06,10.85,11.23,10.66,11.19,131459807,272135,0.815701
2009-04-07,10.9,10.91,10.57,10.65,107265476,293707,0.877994
2009-04-08,10.73,10.77,10.41,10.64,95725591,232419,0.911215
2009-04-09,11.24,11.63,11.09,11.33,150193178,379181,0.866172
2009-04-13,11.44,12.42,11.25,12.13,190093100,546447,1.08459
2009-04-14,12.49,12.5,11.42,11.51,183200290,453732,1.06827
2009-04-15,11.49,11.95,11.14,11.83,120021977,353837,0.844008
2009-04-16,12.06,12.43,11.71,12.27,131804327,522241,0.795669
2009-04-17,12.4,12.73,11.75,12.39,223267448,552062,0.632042
2009-04-20,12,12.12,11.25,11.35,143365348,307722,0.745653
2009-04-21,10.99,11.89,10.85,11.7,123243691,205282,0.712197
2009-04-22,11.66,12.48,11.52,11.8,129383991,252786,0.726824
2009-04-23,12.16,12.19,11.57,11.88,94227184,149945,0.68217
2009-04-24,12.03,12.35,11.95,12.11,97236305,172933,0.604055
2009-04-27,12.13,12.35,11.85,12.09,81367229,167698,0.618842
2009-04-28,11.95,12.28,11.78,12,82370958,140873,0.669122
2009-04-29,12.17,12.57,12.11,12.22,101705290,228940,0.607544
2009-04-30,12.53,12.81,12.52,12.65,114174295,164764,0.564695
2009-05-01,12.74,12.85,12.5,12.69,79815707,195345,0.558876
2009-05-04,12.96,13.17,12.81,13.1,117176528,270081,0.541422
2009-05-05,13.25,13.49,13,13.1,105292402,342034,0.523562
2009-05-06,13.47,13.8,13.31,13.67,128687655,394929,0.53212
2009-05-07,14.3,14.39,13.77,13.96,141840554,262057,0.546024
2009-05-08,14.38,14.55,14.14,14.53,127880022,369921,0.520482
2009-05-11,14.38,14.42,14.1,14.19,93309415,143831,0.606755
2009-05-12,14.24,14.31,13.26,13.68,117996139,254315,0.627362
2009-05-13,13.21,13.25,12.75,12.91,106438245,338863,0.543671
2009-05-14,12.77,13.18,12.5,13.04,90217724,200824,0.552944
2009-05-15,13.07,13.26,12.7,12.86,82659222,190907,0.520417
2009-05-18,13.11,13.5,13.08,13.47,75887286,243054,0.468515
2009-05-19,13.64,13.9592,13.49,13.7,91902833,300016,0.465744
2009-05-20,14.03,14.38,13.74,13.77,113456687,288428,0.497752
2009-05-21,13.51,13.53,13.05,13.24,105104856,334608,0.54018
2009-05-22,13.36,13.4,13.02,13.1,53979247,114915,0.522462
2009-05-26,13.02,13.61,12.85,13.39,95869099,143603,0.504394
2009-05-27,13.47,13.5,12.86,12.99,106646781,221658,0.539984
2009-05-28,13.23,13.28,12.81,13.19,82386811,125084,0.49729
2009-05-29,13.33,13.53,12.22,13.48,84640653,76637,0.475919
2009-06-01,13.82,13.99,13.51,13.86,86156828,236597,0.44218
2009-06-02,13.7,13.85,13.55,13.8,66055091,101439,0.451488
2009-06-03,13.65,13.7,13.3,13.5,68194329,197890,0.505931
2009-06-04,13.62,13.75,13.43,13.75,58275337,53287,0.478016
2009-06-05,13.96,13.98,13.51,13.54,75539308,88663,0.491657
2009-06-08,13.5,13.69,13.34,13.56,58449824,93133,0.484529
2009-06-09,13.56,13.69,13.4,13.57,54243459,129257,0.44768
2009-06-10,13.72,13.77,13.12,13.4,81760922,181604,0.422599
2009-06-11,13.43,13.75,13.34,13.46,71170538,218276,0.468331
2009-06-12,13.45,13.52,13.29,13.51,57300737,159241,0.460562
2009-06-15,13.36,13.36,13.01,13.15,74434173,205506,0.540635
2009-06-16,13.18,13.23,12.72,12.78,91225367,291793,0.588155
2009-06-17,12.71,12.73,12.14,12.25,129373778,2425155,0.572829
2009-06-18,12.19,12.2369,11.46,11.97,175996787,487041,0.617949
2009-06-19,12.13,12.27,11.93,12.1,124335991,383374,0.530231
2009-06-22,11.86,11.9,11.5,11.52,100818499,270252,0.570964
2009-06-23,11.53,11.66,11.25,11.6,86731731,212685,0.537236
2009-06-24,11.77,12.03,11.62,11.7,82484698,178995,0.498995
2009-06-25,11.62,11.93,11.52,11.86,75585692,156747,0.483021
2009-06-26,11.9,12,11.7,11.75,67494833,109518,0.457745
2009-06-29,11.82,11.83,11.64,11.76,52604702,154629,0.450854
2009-06-30,11.84,11.94,11.55,11.72,87146430,149367,0.48742
2009-07-01,11.76,11.9,11.64,11.78,64066030,96033,0.453344
2009-07-02,11.64,11.78,11.46,11.46,70177805,114936,0.483932
2009-07-03,0,0,0,11.46,0,,
2009-07-06,11.37,11.52,11.27,11.48,65337234,101920,0.520836
2009-07-07,11.47,11.54,10.96,11.01,99015439,284320,0.561502
2009-07-08,10.99,11.06,10.5,10.71,139515376,379218,0.606223
2009-07-09,10.94,10.99,10.63,10.86,81506192,282162,0.59923
2009-07-10,10.74,10.85,10.6025,10.78,69909534,167839,0.632131
2009-07-13,10.88,11.5,10.87,11.46,101444122,237991,0.715532
2009-07-14,11.57,11.73,11.46,11.64,71432315,171354,0.684694
2009-07-15,11.92,12.28,11.8642,12.24,91966678,399263,0.459956
2009-07-16,12.07,12.5,11.9,12.4,92112409,376543,0.456631
2009-07-17,11.91,11.98,11.55,11.65,180608430,393652,0.438981
2009-07-20,11.71,11.93,11.58,11.67,93078789,216863,0.402519
2009-07-21,11.78,11.81,11.32,11.47,101111301,214658,0.394933
2009-07-22,11.36,11.74,11.25,11.63,77724270,219614,0.401363
2009-07-23,11.65,12.08,11.57,11.95,100535626,227352,0.452268
2009-07-24,11.89,12.05,11.78,12.03,59703100,101113,0.417932
2009-07-27,12.17,12.38,12.03,12.32,76751481,235613,0.429561
2009-07-28,12.25,12.7,12.18,12.52,105449604,413674,0.400211
2009-07-29,12.44,12.44,12.11,12.26,79859732,179898,0.406881
2009-07-30,13.01,13.3656,12.97,13.11,168474559,479561,0.397849
