trade_id,price,size,time,bid,ask,volume,std_dev
157865661,57374.23,0.00025166,2021-04-19T07:41:39.292881Z,57374.22,57374.23,21925.23957893,nan
157865699,57367.71,0.04082998,2021-04-19T07:42:08.431684Z,57367.71,57367.72,21927.70816411,nan
157865741,57365.05,0.00015637,2021-04-19T07:42:39.232533Z,57365.04,57365.05,21928.84931113,nan
157865855,57321.49,0.05287646,2021-04-19T07:43:08.702752Z,57324.43,57332.46,21928.84931113,nan
157865928,57360.55,0.00854574,2021-04-19T07:43:39.037414Z,57360.54,57360.55,21931.91980503,18.690606838730325
157866019,57414.97,0.00088402,2021-04-19T07:44:09.326865Z,57414.96,57414.97,21931.91980503,29.707640498700442
157866080,57419.19,0.00017102,2021-04-19T07:44:37.95505Z,57419.18,57419.19,21934.42849806,36.64333390945857
157866140,57430.66,0.00044276,2021-04-19T07:45:09.976825Z,57430.66,57430.67,21938.28356224,41.68391363583911
157866306,57486.49,0.00068487,2021-04-19T07:45:39.948438Z,57486.49,57486.5,21938.28356224,40.16636224503922
157866419,57471.23,0.03655028,2021-04-19T07:46:10.097645Z,57471.23,57471.24,21943.98628636,28.919942185277336
157866608,57459.53,0.02380743,2021-04-19T07:46:40.187757Z,57457.36,57459.53,21943.98628636,25.051401557593024
157866801,57419.24,0.00313244,2021-04-19T07:47:09.872408Z,57419.24,57419.25,21950.80547485,25.037741910959078
157866860,57470.03,0.00023386,2021-04-19T07:47:39.153269Z,57470.02,57470.03,21961.90657526,22.722369242663756
157866898,57470.03,0.01687369,2021-04-19T07:48:10.441192Z,57470.02,57470.03,21961.90657526,19.845163037876453
157866936,57430.86,0.00511963,2021-04-19T07:48:36.306669Z,57430.85,57430.86,21963.08370958,21.003431529149204
157867017,57407.57,0.00708624,2021-04-19T07:49:09.384338Z,57407.56,57407.57,21963.08370958,25.956861597647443
157867103,57430.86,0.06028985,2021-04-19T07:49:39.713952Z,57432.61,57435.75,21965.55166232,24.51489914316322
157867168,57428.04,0.00235597,2021-04-19T07:50:09.860691Z,57428.03,57428.04,21969.14361108,20.251186039323468
157867229,57431.67,0.00129403,2021-04-19T07:50:38.164356Z,57431.66,57431.67,21969.14361108,9.19798456179905
157867292,57442.34,0.00134634,2021-04-19T07:51:10.015671Z,57442.33,57446.38,21970.85527761,11.354510293231916
157867338,57481.29,0.002273,2021-04-19T07:51:39.547062Z,57481.28,57481.29,21970.85527761,19.829179508982108
157867420,57503.37,0.00496138,2021-04-19T07:52:08.050803Z,57503.36,57503.37,21972.80982952,29.781881337481412
157867540,57429.02,0.00083168,2021-04-19T07:52:39.946788Z,57429.01,57429.02,21976.05307966,29.591007688145826
157867580,57443.8,0.00164847,2021-04-19T07:53:09.950537Z,57443.8,57443.81,21976.05307966,27.814710208806734
157867627,57470.42,0.00220188,2021-04-19T07:53:39.549326Z,57470.41,57470.42,21988.03964717,26.492700126637263
157867663,57484.66,0.00874894,2021-04-19T07:54:08.713053Z,57484.65,57484.66,21988.03964717,26.923174849930405
157867810,57515.54,0.00005711,2021-04-19T07:54:39.806283Z,57515.53,57515.54,21989.37329811,30.48336359393247
157867960,57566.47,0.00012991,2021-04-19T07:55:04.009417Z,57566.46,57566.47,21998.15203512,42.08431080580719
157868051,57500.24,0.00738601,2021-04-19T07:55:38.855848Z,57500.23,57500.24,21998.15203512,33.14029667941832
157868099,57450.01,0.00034624,2021-04-19T07:56:08.716087Z,57450,57450.01,22005.43396518,38.30631415314925
157868141,57450.01,0.02033174,2021-04-19T07:56:39.644048Z,57450,57450.01,22005.43396518,43.80625462191109
157868206,57423.15,0.00207157,2021-04-19T07:57:11.893023Z,57423.14,57423.15,22006.72809677,50.78771174210861
157868286,57422.43,0.00341266,2021-04-19T07:57:41.299347Z,57422.42,57422.43,22011.5381857,28.290012654631255
157868369,57384.37,0.00667869,2021-04-19T07:58:11.873577Z,57384.36,57384.37,22011.5381857,24.111757795711334
157868445,57449.01,0.00010407,2021-04-19T07:58:41.81801Z,57449,57449.01,22013.8016455,23.915067718888608
157868521,57448.99,0.00208208,2021-04-19T07:59:11.62563Z,57447.32,57448.99,22013.8016455,23.71111131935771
157868621,57427.7,0.00083154,2021-04-19T07:59:41.939773Z,57427.69,57427.7,22014.84485118,23.687304616586665
157868673,57428.56,0.0001066,2021-04-19T08:00:11.216954Z,57428.56,57428.57,22018.37555631,23.603412126194073
157868753,57419.07,0.00048538,2021-04-19T08:00:41.667299Z,57419.06,57419.07,22018.37555631,12.165286022079306
157868809,57438.54,0.1159549,2021-04-19T08:01:11.929191Z,57438.53,57438.54,20816.74216626,10.269413615148967
157868852,57410.1,0.00083197,2021-04-19T08:01:41.549763Z,57410.09,57410.1,20816.74216626,9.594351671636343
157868912,57438.54,0.02979273,2021-04-19T08:02:12.004612Z,57430.98,57438.54,20817.9079254,11.110935874129275
157868970,57524.91,0.01620151,2021-04-19T08:02:41.975455Z,57524.9,57524.91,20819.96763984,40.8701775870739
157869045,57547.64,0.00340614,2021-04-19T08:03:11.880997Z,57547.63,57547.64,20819.96763984,54.02150742064415
157869126,57575,0.00048408,2021-04-19T08:03:41.812186Z,57574.99,57575,20821.91666155,63.83026880719466
157869246,57550,0.00008923,2021-04-19T08:04:11.798842Z,57522.84,57536.54,20821.91666155,47.09206234599139
157869324,57488.02,0.00514087,2021-04-19T08:04:42.04931Z,57488.01,57488.02,20826.20491854,29.227908306938062
157869433,57355.88,0.001,2021-04-19T08:05:12.137101Z,57354.94,57354.95,20833.01308223,79.0619378462147
157869545,57349.52,0.01047753,2021-04-19T08:05:41.543192Z,57343.1,57349.33,20833.01308223,94.96216711932625
157869641,57412.56,0.47864519,2021-04-19T08:06:10.553904Z,57388.32,57388.33,20836.53395285,77.50371180788052
157869696,57402.33,0.00015627,2021-04-19T08:06:41.726655Z,57402.32,57402.33,20836.53395285,49.78292173023963
157869782,57349.11,0.0001,2021-04-19T08:07:10.746986Z,57349.11,57349.12,20841.21782395,27.700207219434347
157869844,57325.11,0.00072908,2021-04-19T08:07:42.114867Z,57325.1,57325.11,20843.39067074,33.76880726350277
157869915,57360.58,0.00144713,2021-04-19T08:08:11.114874Z,57371.17,57371.18,20843.39067074,32.85362652736454
157869987,57370.47,0.00168343,2021-04-19T08:08:41.519051Z,57352.39,57358.28,20845.03615384,25.401332248518376
157870060,57325.47,0.00117575,2021-04-19T08:09:09.458337Z,57325.47,57325.48,20845.03615384,18.323716216959944
157870150,57380.44,0.00854733,2021-04-19T08:09:41.539806Z,57380.43,57380.44,20851.31215297,23.020195133831386
157870290,57327.55,0.00064874,2021-04-19T08:10:11.981921Z,57322.26,57330.99,20854.38522113,22.455138743718074
157870403,57301.96,0.01938895,2021-04-19T08:10:41.755757Z,57296.61,57296.62,20854.38522113,29.56362995302884
157870480,57276.35,0.00032161,2021-04-19T08:11:12.189903Z,57270.63,57276.35,20862.01829048,34.47600475692578
157870605,57274.34,0.00855833,2021-04-19T08:11:40.319957Z,57274.33,57274.34,20862.01829048,39.28295783160395
157870677,57282.18,0.00168581,2021-04-19T08:12:07.274026Z,57288.33,57288.34,20867.83332529,20.075366596886052
157870723,57270.63,0.0001066,2021-04-19T08:12:41.560819Z,57270.63,57270.64,20872.72403112,11.083200620721854
157870765,57258.8,0.01434797,2021-04-19T08:13:11.229396Z,57258.79,57258.8,20872.72403112,7.785748518862989
157870798,57260.64,0.00052657,2021-04-19T08:13:40.47947Z,57260.64,57260.65,20873.27865159,8.69837777973155
157870852,57270.36,0.00015654,2021-04-19T08:14:12.151439Z,57264.75,57270.36,20873.27865159,8.37861659219006
157870916,57238.2,0.0004,2021-04-19T08:14:40.205252Z,57238.2,57238.21,20874.18962016,11.807122596081605
157870967,57222.71,0.0076,2021-04-19T08:15:10.34631Z,57220.18,57225.14,20875.17591896,17.257244739494315
157871034,57236.43,0.02215812,2021-04-19T08:15:41.349612Z,57236.42,57236.43,20875.17591896,17.332265172179532
157871112,57245.31,0.00167138,2021-04-19T08:16:11.786557Z,57238.53,57245.31,20877.57267075,15.690778693192085
157871181,57285.9,0.00083383,2021-04-19T08:16:41.428071Z,57285.89,57285.9,20877.57267075,21.38651257215058
157871227,57264.49,0.00015655,2021-04-19T08:17:11.593333Z,57260.99,57264.49,20879.26425461,22.11320908413624
157871259,57227.99,0.00008693,2021-04-19T08:17:40.69035Z,57227.98,57227.99,20883.1242869,20.827233709706043
157871307,57208.84,0.00023495,2021-04-19T08:18:11.403015Z,57207.74,57207.75,20883.1242869,26.975217218751002
157871420,57200,0.00057429,2021-04-19T08:18:42.05144Z,57199.99,57200,20884.89018022,32.83013895795798
157871521,57182.54,0.00010456,2021-04-19T08:19:13.622393Z,57182.53,57182.54,20884.89018022,27.996062151647156
157871590,57171.66,0.00255739,2021-04-19T08:19:41.446163Z,57171.65,57171.66,20891.26698374,19.76613629415404
157871653,57202.7,0.00856895,2021-04-19T08:20:10.619435Z,57200.97,57202.7,20893.3279938,13.846972809937483
157871739,57189.91,0.00521824,2021-04-19T08:20:42.207035Z,57184.3,57189.91,20893.3279938,11.412888153278496
157871825,57213.38,0.00012563,2021-04-19T08:21:12.603476Z,57210.27,57213.38,20894.73165355,14.691238749648384
157871864,57230.42,0.00194887,2021-04-19T08:21:42.840248Z,57230.41,57230.42,20894.73165355,20.01813937405468
157871938,57221.72,0.00168674,2021-04-19T08:22:11.961079Z,57221.71,57221.72,20901.66910136,14.208715072064171
157871966,57200.46,0.00132618,2021-04-19T08:22:43.107397Z,57179.54,57179.55,20911.25281086,14.515098897324421
157872035,57136.3,0.00871749,2021-04-19T08:23:13.89776Z,57136.29,57136.3,20911.25281086,33.564925502661175
157872115,57131.68,0.27,2021-04-19T08:23:42.894425Z,57137.06,57137.07,20913.48575034,42.09786578912666
157872151,57165.63,0.00387863,2021-04-19T08:24:12.855247Z,57165.63,57165.64,20913.48575034,35.26832709385856
157872183,57154.81,0.01605481,2021-04-19T08:24:41.238175Z,57154.8,57154.81,20915.13716813,24.635852410652056
157872238,57124.62,0.00223205,2021-04-19T08:25:14.074103Z,57124.61,57124.62,20917.64023405,15.24258167107385
157872299,57114.73,0.00132586,2021-04-19T08:25:43.603638Z,57114.73,57114.74,20917.64023405,19.005370398898634
157872404,57070.19,0.08631473,2021-04-19T08:26:13.376121Z,57059.7,57059.71,20919.76217712,33.598292575654504
157872573,57011.79,0.08325544,2021-04-19T08:26:42.916146Z,57014.74,57014.75,20919.76217712,49.76551753975217
157872643,57069.33,0.00039163,2021-04-19T08:27:14.132194Z,57069.32,57070.2,20927.64093647,40.105758389532355
157872699,57055.94,0.00286297,2021-04-19T08:27:42.86529Z,57062.63,57070.97,20934.22253469,32.95548973994559
157872749,57018.74,0.00128335,2021-04-19T08:28:11.615059Z,57007.82,57007.83,20934.22253469,25.053799232847865
157872826,56999.18,0.01745682,2021-04-19T08:28:43.756652Z,56998.42,56998.89,20936.93656096,26.91853086629996
157872902,56954.44,0.00057796,2021-04-19T08:29:13.220062Z,56954.43,56954.44,20936.93656096,41.12707799005432
157872997,57016.05,0.00403203,2021-04-19T08:29:43.881521Z,57016.04,57016.05,20938.75103802,32.9274207917972
157873073,56975.32,0.00043453,2021-04-19T08:30:12.575766Z,56975.31,56975.32,20942.20641907,24.621843635277813
157873130,57031.29,0.0017473,2021-04-19T08:30:44.043012Z,57031.28,57031.29,20942.20641907,27.602997373475528
157873189,57020.01,0.00166757,2021-04-19T08:31:13.674166Z,57020.01,57020.02,20945.93803841,29.394599095754284
157873239,57000.25,0.00083809,2021-04-19T08:31:42.355506Z,57000.24,57000.25,20945.93803841,19.379403086787807
157873330,57059.1,0.0735,2021-04-19T08:32:13.328976Z,57059.09,57059.1,20949.67710155,28.295833332847014
157873393,57073.35,0.00043595,2021-04-19T08:32:41.018422Z,57069.02,57069.03,20951.45293341,26.386963447893105
157873433,57083.94,0.01131752,2021-04-19T08:33:13.968054Z,57083.93,57083.94,20951.45293341,31.996169145705903
157873485,57081.93,0.00034863,2021-04-19T08:33:41.9277Z,57081.92,57081.93,20952.80555286,30.99269113840937
157873556,57114.9,0.00065872,2021-04-19T08:34:14.012676Z,57114.9,57114.91,20952.80555286,18.348500320224005
157873621,57157.64,0.00514978,2021-04-19T08:34:43.195097Z,57153.03,57156.82,20955.14408085,31.020609536266694
157873652,57151.46,0.01414382,2021-04-19T08:35:13.49776Z,57151.46,57151.47,20956.24267699,32.12985004636145
157873706,57189.52,0.01237298,2021-04-19T08:35:41.478522Z,57189.52,57189.53,20956.24267699,37.12876512896664
157873739,57200.46,0.01689945,2021-04-19T08:36:13.400241Z,57200.45,57200.46,20956.88469294,30.271653803556095
157873802,57221.35,0.0147711,2021-04-19T08:36:44.115658Z,57214.01,57221.35,20956.88469294,26.268188822275274
157873860,57189.52,0.04878951,2021-04-19T08:37:12.160036Z,57174.54,57174.55,20957.25220736,22.70224341343473
